category,index,probe_path,subcategory,label,n,correctAns_mean,correctAns_raw,discrim_resptime_mean,discrim_resptime_raw,discrim_resptime_std,image_onset_time_mean,image_onset_time_raw,image_onset_time_std,jitter1_mean,jitter1_raw,jitter2_mean,jitter2_raw,probe_Frames_raw,response.corr_mean,response.corr_raw,response.corr_std,response.keys_raw,response.rt_mean,response.rt_raw,response.rt_std,response_window_raw,visible.corr_mean,visible.corr_raw,visible.corr_std,visible.keys_raw,visible.rt_mean,visible.rt_raw,visible.rt_std,visible_resptime_mean,visible_resptime_raw,visible_resptime_std,order
Living_Things,94,../experiment_stimuli/bw_bc_bl/Living_Things/Marine_creatures/whale_24.jpg,Marine_creatures,whale,1.0,2.0,2,376.72769165,376.7276916503906,0.0,373.947753906,373.94775390625,0.0,2.5,2.5,7.0,7.0,5,1.0,1.0,0.0,'2',1.22028839588,1.2202883958816528,0.0,'nV_V',0.0,0.0,0.0,'2',0.410281419754,0.4102814197540283,0.0,378.238189697,378.2381896972656,0.0,28.0
Nonliving_Things,69,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Furniture/rocking-chair_17.jpg,Furniture,rocking-chair,1.0,1.0,1,272.768127441,272.76812744140625,0.0,270.48815918,270.4881591796875,0.0,2.0,2.0,6.0,6.0,5,1.0,1.0,0.0,'1',0.640288889408,0.6402888894081116,0.0,'nV_V',0.0,0.0,0.0,'2',0.3602886796,0.36028867959976196,0.0,274.278808594,274.27880859375,0.0,20.0
Nonliving_Things,71,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Kitchen_Uten/saucepan_12.jpg,Kitchen_Uten,saucepan,1.0,2.0,2,196.218521118,196.21852111816406,0.0,193.89855957,193.8985595703125,0.0,2.0,2.0,6.5,6.5,7,1.0,1.0,0.0,'2',1.02030694485,1.020306944847107,0.0,'V_nV',0.0,0.0,0.0,'3',0.380308836699,0.3803088366985321,0.0,197.729049683,197.7290496826172,0.0,14.0
Nonliving_Things,86,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Vehicles/tractor_9.jpg,Vehicles,tractor,1.0,2.0,2,336.247833252,336.2478332519531,0.0,334.447998047,334.447998046875,0.0,1.5,1.5,6.0,6.0,7,1.0,1.0,0.0,'2',0.690406918526,0.6904069185256958,0.0,'V_nV',0.0,0.0,0.0,'3',0.170423910022,0.17042391002178192,0.0,337.758453369,337.7584533691406,0.0,25.0
Living_Things,34,../experiment_stimuli/bw_bc_bl/Living_Things/Birds/goose_13.jpg,Birds,goose,1.0,1.0,1,104.64894104,104.64894104003906,0.0,102.888969421,102.88896942138672,0.0,1.5,1.5,8.0,8.0,3,1.0,1.0,0.0,'1',0.390294462442,0.39029446244239807,0.0,'V_nV',1.0,1.0,0.0,'1',1.36028444767,1.360284447669983,0.0,106.159484863,106.15948486328125,0.0,7.0
Nonliving_Things,66,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Kitchen_Uten/pot_18.jpg,Kitchen_Uten,pot,1.0,1.0,1,389.72756958,389.7275695800781,0.0,387.947601318,387.9476013183594,0.0,1.5,1.5,6.0,6.0,4,0.0,0.0,0.0,'2',1.36028707027,1.360287070274353,0.0,'nV_V',1.0,1.0,0.0,'1',0.780280888081,0.7802808880805969,0.0,391.238098145,391.23809814453125,0.0,29.0
Nonliving_Things,72,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Musical_Inst/saxophone_9.jpg,Musical_Inst,saxophone,1.0,1.0,1,363.727752686,363.7277526855469,0.0,359.957855225,359.9578552246094,0.0,3.5,3.5,6.0,6.0,3,1.0,1.0,0.0,'1',1.24024105072,1.2402410507202148,0.0,'nV_V',1.0,1.0,0.0,'1',1.02034711838,1.0203471183776855,0.0,365.238342285,365.23834228515625,0.0,27.0
Nonliving_Things,83,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Kitchen_Uten/teapot_3.jpg,Kitchen_Uten,teapot,1.0,2.0,2,13.9496307373,13.949630737304688,0.0,11.4496955872,11.449695587158203,0.0,2.0,2.0,6.0,6.0,'4.0',0.0,0.0,0.0,'1',1.44028902054,1.44028902053833,0.0,'V_nV',0.0,0.0,0.0,,,,,15.4605579376,15.46055793762207,0.0,0.0
Living_Things,42,../experiment_stimuli/bw_bc_bl/Living_Things/Birds/hummingbird_20.jpg,Birds,hummingbird,1.0,1.0,1,132.648803711,132.6488037109375,0.0,130.368850708,130.3688507080078,0.0,2.0,2.0,8.0,8.0,5,1.0,1.0,0.0,'1',0.540299475193,0.5402994751930237,0.0,'V_nV',0.0,0.0,0.0,'2',0.260290980339,0.2602909803390503,0.0,134.159393311,134.15939331054688,0.0,9.0
Living_Things,45,../experiment_stimuli/bw_bc_bl/Living_Things/Insects/ladybird_6.jpg,Insects,ladybird,1.0,2.0,2,222.208374023,222.2083740234375,0.0,219.938415527,219.93841552734375,0.0,2.0,2.0,6.0,6.0,4,1.0,1.0,0.0,'2',0.900278806686,0.9002788066864014,0.0,'nV_V',1.0,1.0,0.0,'1',0.110285304487,0.11028530448675156,0.0,223.718902588,223.71890258789062,0.0,16.0
