category,index,probe_path,subcategory,label,n,correctAns_mean,correctAns_raw,discrim_resptime_mean,discrim_resptime_raw,discrim_resptime_std,image_onset_time_mean,image_onset_time_raw,image_onset_time_std,jitter1_mean,jitter1_raw,jitter2_mean,jitter2_raw,probe_Frames_raw,response.corr_mean,response.corr_raw,response.corr_std,response.keys_raw,response.rt_mean,response.rt_raw,response.rt_std,response_window_raw,visible.corr_mean,visible.corr_raw,visible.corr_std,visible.keys_raw,visible.rt_mean,visible.rt_raw,visible.rt_std,visible_resptime_mean,visible_resptime_raw,visible_resptime_std,order
Nonliving_Things,19,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Furniture/couch_16.jpg,Furniture,couch,1.0,2.0,2,225.972671509,225.97267150878906,0.0,224.072738647,224.07273864746094,0.0,1.5,1.5,7.5,7.5,1,1.0,1.0,0.0,'2',0.770299971104,0.7702999711036682,0.0,'V_nV',1.0,1.0,0.0,'1',1.20030105114,1.2003010511398315,0.0,227.48324585,227.48324584960938,0.0,16.0
Nonliving_Things,58,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Buildings/palace_9.jpg,Buildings,palace,1.0,2.0,2,412.651733398,412.6517333984375,0.0,410.681793213,410.6817932128906,0.0,1.5,1.5,6.0,6.0,4,1.0,1.0,0.0,'2',0.370316803455,0.3703168034553528,0.0,'V_nV',0.0,0.0,0.0,'3',0.610294818878,0.6102948188781738,0.0,414.162353516,414.162353515625,0.0,30.0
Living_Things,13,../experiment_stimuli/bw_bc_bl/Living_Things/Animals/cat_17.jpg,Animals,cat,1.0,2.0,2,333.952148438,333.9521484375,0.0,331.9921875,331.9921875,0.0,1.5,1.5,6.0,6.0,3,0.0,0.0,0.0,'1',0.890301823616,0.8903018236160278,0.0,'nV_V',1.0,1.0,0.0,'1',0.28030821681,0.28030821681022644,0.0,335.46270752,335.46270751953125,0.0,24.0
Nonliving_Things,35,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Buildings/granary_8.jpg,Buildings,granary,1.0,2.0,2,213.15272522,213.15272521972656,0.0,210.732788086,210.7327880859375,0.0,2.0,2.0,6.5,6.5,2,1.0,1.0,0.0,'2',0.890254795551,0.8902547955513,0.0,'V_nV',0.0,0.0,0.0,'2',0.510305464268,0.5103054642677307,0.0,214.663269043,214.66326904296875,0.0,15.0
Living_Things,1,../experiment_stimuli/bw_bc_bl/Living_Things/Animals/armadillo_14.jpg,Animals,armadillo,1.0,1.0,1,360.682006836,360.6820068359375,0.0,358.24206543,358.2420654296875,0.0,2.0,2.0,6.0,6.0,2,1.0,1.0,0.0,'1',1.14030206203,1.140302062034607,0.0,'V_nV',0.0,0.0,0.0,'2',0.470303028822,0.4703030288219452,0.0,362.1925354,362.1925354003906,0.0,26.0
Living_Things,85,../experiment_stimuli/bw_bc_bl/Living_Things/Birds/toucan_12.jpg,Birds,toucan,1.0,2.0,2,103.543334961,103.5433349609375,0.0,101.613380432,101.6133804321289,0.0,1.5,1.5,7.0,7.0,1,1.0,1.0,0.0,'2',0.53037238121,0.5303723812103271,0.0,'nV_V',1.0,1.0,0.0,'1',0.310314506292,0.31031450629234314,0.0,105.053894043,105.05389404296875,0.0,7.0
Nonliving_Things,25,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Musical_Inst/drum_10.jpg,Musical_Inst,drum,1.0,2.0,2,38.8035888672,38.8035888671875,0.0,36.4136695862,36.41366958618164,0.0,2.0,2.0,6.0,6.0,2,0.0,0.0,0.0,'1',1.02029240131,1.0202924013137817,0.0,'V_nV',0.0,0.0,0.0,'3',1.30016744137,1.300167441368103,0.0,40.3141670227,40.31416702270508,0.0,2.0
Living_Things,79,../experiment_stimuli/bw_bc_bl/Living_Things/Birds/sparrow_23.jpg,Birds,sparrow,1.0,1.0,1,385.391876221,385.3918762207031,0.0,383.451934814,383.4519348144531,0.0,1.5,1.5,8.0,8.0,1,0.0,0.0,0.0,'2',0.900299191475,0.9002991914749146,0.0,'V_nV',1.0,1.0,0.0,'1',0.240309089422,0.24030908942222595,0.0,386.902435303,386.9024353027344,0.0,28.0
Nonliving_Things,28,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Buildings/factory_12.jpg,Buildings,factory,1.0,1.0,1,280.44241333,280.4424133300781,0.0,278.502441406,278.50244140625,0.0,1.5,1.5,6.0,6.0,1,1.0,1.0,0.0,'1',0.580312430859,0.5803124308586121,0.0,'nV_V',1.0,1.0,0.0,'1',0.190307125449,0.1903071254491806,0.0,281.952941895,281.95294189453125,0.0,20.0
Nonliving_Things,54,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Vehicles/motorbike_4.jpg,Vehicles,motorbike,1.0,1.0,1,253.72253418,253.7225341796875,0.0,251.752578735,251.75257873535156,0.0,1.5,1.5,6.0,6.0,5,1.0,1.0,0.0,'1',0.7303429842,0.7303429841995239,0.0,'nV_V',0.0,0.0,0.0,'3',0.260303318501,0.2603033185005188,0.0,255.233108521,255.2331085205078,0.0,18.0
