category,index,probe_path,subcategory,label,n,correctAns_mean,correctAns_raw,discrim_resptime_mean,discrim_resptime_raw,discrim_resptime_std,image_onset_time_mean,image_onset_time_raw,image_onset_time_std,jitter1_mean,jitter1_raw,jitter2_mean,jitter2_raw,probe_Frames_raw,response.corr_mean,response.corr_raw,response.corr_std,response.keys_raw,response.rt_mean,response.rt_raw,response.rt_std,response_window_raw,visible.corr_mean,visible.corr_raw,visible.corr_std,visible.keys_raw,visible.rt_mean,visible.rt_raw,visible.rt_std,visible_resptime_mean,visible_resptime_raw,visible_resptime_std,order
Living_Things,61,../experiment_stimuli/bw_bc_bl/Living_Things/Birds/penguin_6.jpg,Birds,penguin,1.0,2.0,2,310.970428467,310.9704284667969,0.0,308.930450439,308.9304504394531,0.0,1.5,1.5,6.0,6.0,10,0.0,0.0,0.0,,,,,'nV_V',0.0,0.0,0.0,'3',1.09029746056,1.0902974605560303,0.0,312.480865479,312.4808654785156,0.0,22.0
Nonliving_Things,3,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Tools/axe_9.jpg,Tools,axe,1.0,2.0,2,243.210739136,243.2107391357422,0.0,240.210784912,240.21078491210938,0.0,2.5,2.5,7.0,7.0,7,1.0,1.0,0.0,'2',1.00016653538,1.0001665353775024,0.0,'V_nV',1.0,1.0,0.0,'1',0.480267435312,0.4802674353122711,0.0,244.721298218,244.72129821777344,0.0,17.0
Living_Things,74,../experiment_stimuli/bw_bc_bl/Living_Things/Birds/seagull_1.jpg,Birds,seagull,1.0,1.0,1,201.030944824,201.03094482421875,0.0,197.061004639,197.06100463867188,0.0,3.5,3.5,6.0,6.0,4,1.0,1.0,0.0,'1',0.860091149807,0.8600911498069763,0.0,'V_nV',0.0,0.0,0.0,'3',0.590173125267,0.5901731252670288,0.0,202.541503906,202.54150390625,0.0,14.0
Living_Things,51,../experiment_stimuli/bw_bc_bl/Living_Things/Birds/magpie_22.jpg,Birds,magpie,1.0,1.0,1,173.721115112,173.7211151123047,0.0,171.25112915,171.25112915039062,0.0,2.0,2.0,6.5,6.5,4,1.0,1.0,0.0,'1',1.09028863907,1.0902886390686035,0.0,'V_nV',1.0,1.0,0.0,'1',0.390297323465,0.3902973234653473,0.0,175.231658936,175.23165893554688,0.0,12.0
Living_Things,68,../experiment_stimuli/bw_bc_bl/Living_Things/Animals/rhino_5.jpg,Animals,rhino,1.0,1.0,1,389.970001221,389.9700012207031,0.0,387.440063477,387.4400634765625,0.0,2.0,2.0,6.0,6.0,9,1.0,1.0,0.0,'1',0.750304996967,0.7503049969673157,0.0,'V_nV',0.0,0.0,0.0,'3',0.350297898054,0.3502978980541229,0.0,391.480651855,391.48065185546875,0.0,28.0
Nonliving_Things,11,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Vehicles/car_4.jpg,Vehicles,car,1.0,2.0,2,427.669799805,427.6697998046875,0.0,425.649902344,425.64990234375,0.0,1.5,1.5,6.0,6.0,8,1.0,1.0,0.0,'2',1.2502976656,1.2502976655960083,0.0,'V_nV',0.0,0.0,0.0,'3',0.490298181772,0.49029818177223206,0.0,429.180511475,429.1805114746094,0.0,31.0
Living_Things,55,../experiment_stimuli/bw_bc_bl/Living_Things/Marine_creatures/narwhal_19.jpg,Marine_creatures,narwhal,1.0,1.0,1,229.290802002,229.29080200195312,0.0,226.300857544,226.3008575439453,0.0,2.5,2.5,6.5,6.5,4,1.0,1.0,0.0,'1',0.620233952999,0.620233952999115,0.0,'V_nV',1.0,1.0,0.0,'1',1.01029086113,1.0102908611297607,0.0,230.80140686,230.80140686035156,0.0,16.0
Living_Things,57,../experiment_stimuli/bw_bc_bl/Living_Things/Birds/owl_15.jpg,Birds,owl,1.0,2.0,2,296.510467529,296.5104675292969,0.0,293.960540771,293.9605407714844,0.0,2.0,2.0,8.0,8.0,11,1.0,1.0,0.0,'2',0.620289325714,0.6202893257141113,0.0,'nV_V',0.0,0.0,0.0,'2',0.360298365355,0.36029836535453796,0.0,298.021087646,298.0210876464844,0.0,21.0
Nonliving_Things,62,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Musical_Inst/piano__5.jpg,Musical_Inst,piano,1.0,1.0,1,53.3616752625,53.36167526245117,0.0,51.4417381287,51.44173812866211,0.0,1.5,1.5,6.5,6.5,2,0.0,0.0,0.0,'2',0.81030267477,0.8103026747703552,0.0,'nV_V',1.0,1.0,0.0,'1',0.530316114426,0.5303161144256592,0.0,54.8722839355,54.872283935546875,0.0,3.0
Nonliving_Things,5,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Furniture/bed_5.jpg,Furniture,bed,1.0,2.0,2,27.7118396759,27.71183967590332,0.0,24.2518615723,24.251861572265625,0.0,3.0,3.0,7.0,7.0,'2.0',0.0,0.0,0.0,'1',0.660294592381,0.6602945923805237,0.0,'V_nV',1.0,1.0,0.0,'1',0.350304543972,0.3503045439720154,0.0,29.2223510742,29.22235107421875,0.0,1.0
