category,index,probe_path,subcategory,label,n,correctAns_mean,correctAns_raw,discrim_resptime_mean,discrim_resptime_raw,discrim_resptime_std,image_onset_time_mean,image_onset_time_raw,image_onset_time_std,jitter1_mean,jitter1_raw,jitter2_mean,jitter2_raw,probe_Frames_raw,response.corr_mean,response.corr_raw,response.corr_std,response.keys_raw,response.rt_mean,response.rt_raw,response.rt_std,response_window_raw,visible.corr_mean,visible.corr_raw,visible.corr_std,visible.keys_raw,visible.rt_mean,visible.rt_raw,visible.rt_std,visible_resptime_mean,visible_resptime_raw,visible_resptime_std,order
Living_Things,60,../experiment_stimuli/bw_bc_bl/Living_Things/Birds/pelican_21.jpg,Birds,pelican,1.0,2.0,2,310.967498779,310.9674987792969,0.0,309.17755127,309.17755126953125,0.0,1.5,1.5,6.0,6.0,6,1.0,1.0,0.0,'2',0.690303325653,0.6903033256530762,0.0,'nV_V',0.0,0.0,0.0,'2',0.340316474438,0.3403164744377136,0.0,312.478149414,312.4781494140625,0.0,23.0
Living_Things,67,../experiment_stimuli/bw_bc_bl/Living_Things/Birds/raven_0.jpg,Birds,raven,1.0,2.0,2,130.128372192,130.1283721923828,0.0,128.3384552,128.3384552001953,0.0,1.5,1.5,7.0,7.0,5,1.0,1.0,0.0,'2',0.650296270847,0.6502962708473206,0.0,'nV_V',0.0,0.0,0.0,'3',0.35026165843,0.3502616584300995,0.0,131.638977051,131.63897705078125,0.0,9.0
Nonliving_Things,0,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Furniture/Chest-of-drawers_4.jpg,Furniture,Chest-of-drawers,1.0,2.0,2,273.487701416,273.4877014160156,0.0,270.707733154,270.7077331542969,0.0,2.5,2.5,6.0,6.0,5,1.0,1.0,0.0,'2',0.500246703625,0.5002467036247253,0.0,'V_nV',0.0,0.0,0.0,'3',0.520301818848,0.5203018188476562,0.0,274.99822998,274.99822998046875,0.0,20.0
Nonliving_Things,62,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Musical_Inst/piano__19.jpg,Musical_Inst,piano,1.0,1.0,1,170.568191528,170.5681915283203,0.0,168.808242798,168.80824279785156,0.0,1.5,1.5,6.5,6.5,3,1.0,1.0,0.0,'1',0.800296545029,0.8002965450286865,0.0,'nV_V',0.0,0.0,0.0,'2',0.540290951729,0.5402909517288208,0.0,172.078765869,172.07876586914062,0.0,12.0
Nonliving_Things,11,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Vehicles/car_13.jpg,Vehicles,car,1.0,2.0,2,157.098251343,157.09825134277344,0.0,155.31829834,155.31829833984375,0.0,1.5,1.5,7.5,7.5,5,1.0,1.0,0.0,'2',0.810296595097,0.8102965950965881,0.0,'V_nV',0.0,0.0,0.0,'3',0.310296356678,0.31029635667800903,0.0,158.608825684,158.60882568359375,0.0,11.0
Living_Things,56,../experiment_stimuli/bw_bc_bl/Living_Things/Birds/ostrich_6.jpg,Birds,ostrich,1.0,2.0,2,144.598312378,144.5983123779297,0.0,141.338348389,141.33834838867188,0.0,3.0,3.0,6.5,6.5,3,1.0,1.0,0.0,'2',0.580306410789,0.5803064107894897,0.0,'nV_V',1.0,1.0,0.0,'1',0.650297701359,0.6502977013587952,0.0,146.108856201,146.10885620117188,0.0,10.0
Nonliving_Things,8,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Furniture/bookcase_20.jpg,Furniture,bookcase,1.0,2.0,2,375.3671875,375.3671875,0.0,373.10723877,373.10723876953125,0.0,2.0,2.0,6.0,6.0,2,1.0,1.0,0.0,'2',0.610380709171,0.6103807091712952,0.0,'V_nV',1.0,1.0,0.0,'1',0.480368793011,0.48036879301071167,0.0,376.877807617,376.8778076171875,0.0,28.0
Nonliving_Things,3,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Tools/axe_20.jpg,Tools,axe,1.0,2.0,2,196.048065186,196.04806518554688,0.0,193.768096924,193.76809692382812,0.0,2.0,2.0,7.0,7.0,5,0.0,0.0,0.0,'1',0.500341653824,0.5003416538238525,0.0,'V_nV',0.0,0.0,0.0,'2',0.270337581635,0.2703375816345215,0.0,197.558670044,197.5586700439453,0.0,14.0
Living_Things,52,../experiment_stimuli/bw_bc_bl/Living_Things/Marine_creatures/manatee_5.jpg,Marine_creatures,manatee,1.0,1.0,1,235.007904053,235.00790405273438,0.0,233.247955322,233.24795532226562,0.0,1.5,1.5,6.0,6.0,4,0.0,0.0,0.0,'2',0.490298449993,0.49029844999313354,0.0,'V_nV',1.0,1.0,0.0,'1',0.200354442,0.2003544420003891,0.0,236.518417358,236.51841735839844,0.0,17.0
Living_Things,51,../experiment_stimuli/bw_bc_bl/Living_Things/Birds/magpie_19.jpg,Birds,magpie,1.0,1.0,1,246.997817993,246.99781799316406,0.0,245.217849731,245.2178497314453,0.0,1.5,1.5,6.0,6.0,5,1.0,1.0,0.0,'1',0.590283632278,0.5902836322784424,0.0,'V_nV',0.0,0.0,0.0,'2',0.470329195261,0.4703291952610016,0.0,248.508377075,248.5083770751953,0.0,18.0
