category,index,probe_path,subcategory,label,n,correctAns_mean,correctAns_raw,discrim_resptime_mean,discrim_resptime_raw,discrim_resptime_std,image_onset_time_mean,image_onset_time_raw,image_onset_time_std,jitter1_mean,jitter1_raw,jitter2_mean,jitter2_raw,probe_Frames_raw,response.corr_mean,response.corr_raw,response.corr_std,response.keys_raw,response.rt_mean,response.rt_raw,response.rt_std,response_window_raw,visible.corr_mean,visible.corr_raw,visible.corr_std,visible.keys_raw,visible.rt_mean,visible.rt_raw,visible.rt_std,visible_resptime_mean,visible_resptime_raw,visible_resptime_std,order
Nonliving_Things,76,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Vehicles/ship_16.jpg,Vehicles,ship,1.0,2.0,2,173.574890137,173.57489013671875,0.0,171.604980469,171.60498046875,0.0,1.5,1.5,6.0,6.0,4,1.0,1.0,0.0,'2',1.13040828705,1.1304082870483398,0.0,'V_nV',0.0,0.0,0.0,'3',0.190419495106,0.1904194951057434,0.0,175.085586548,175.08558654785156,0.0,12.0
Nonliving_Things,87,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Vehicles/train_24.jpg,Vehicles,train,1.0,2.0,2,346.394012451,346.3940124511719,0.0,344.424072266,344.424072265625,0.0,1.5,1.5,6.0,6.0,2,0.0,0.0,0.0,'1',0.590297877789,0.5902978777885437,0.0,'V_nV',1.0,1.0,0.0,'1',0.0302635990083,0.030263599008321762,0.0,347.904602051,347.90460205078125,0.0,25.0
Nonliving_Things,83,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Kitchen_Uten/teapot_12.jpg,Kitchen_Uten,teapot,1.0,2.0,2,399.823730469,399.82373046875,0.0,397.863800049,397.8638000488281,0.0,1.5,1.5,6.0,6.0,2,1.0,1.0,0.0,'2',0.530311644077,0.530311644077301,0.0,'V_nV',0.0,0.0,0.0,'3',0.0103055769578,0.010305576957762241,0.0,401.334289551,401.33428955078125,0.0,29.0
Living_Things,49,../experiment_stimuli/bw_bc_bl/Living_Things/Marine_creatures/lobster_3.jpg,Marine_creatures,lobster,1.0,2.0,2,281.474395752,281.4743957519531,0.0,279.52444458,279.5244445800781,0.0,1.5,1.5,6.0,6.0,1,1.0,1.0,0.0,'2',1.32033491135,1.3203349113464355,0.0,'nV_V',1.0,1.0,0.0,'1',0.450368613005,0.45036861300468445,0.0,282.984893799,282.9848937988281,0.0,20.0
Living_Things,65,../experiment_stimuli/bw_bc_bl/Living_Things/Marine_creatures/pomfret_19.jpg,Marine_creatures,pomfret,1.0,2.0,2,253.264511108,253.26451110839844,0.0,249.314559937,249.31455993652344,0.0,3.5,3.5,6.5,6.5,1,0.0,0.0,0.0,'1',0.630369782448,0.6303697824478149,0.0,'nV_V',0.0,0.0,0.0,'2',0.620324492455,0.6203244924545288,0.0,254.775115967,254.77511596679688,0.0,18.0
Living_Things,95,../experiment_stimuli/bw_bc_bl/Living_Things/Animals/zebra_17.jpg,Animals,zebra,1.0,2.0,2,372.133880615,372.1338806152344,0.0,370.183929443,370.1839294433594,0.0,1.5,1.5,8.0,8.0,3,1.0,1.0,0.0,'2',0.720323383808,0.720323383808136,0.0,'nV_V',0.0,0.0,0.0,'3',0.840260505676,0.8402605056762695,0.0,373.644500732,373.6445007324219,0.0,27.0
Nonliving_Things,78,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Furniture/sofa_18.jpg,Furniture,sofa,1.0,2.0,2,226.514678955,226.51467895507812,0.0,224.54473877,224.54473876953125,0.0,1.5,1.5,6.0,6.0,3,1.0,1.0,0.0,'2',0.590396881104,0.5903968811035156,0.0,'V_nV',0.0,0.0,0.0,'2',0.62029916048,0.6202991604804993,0.0,228.025222778,228.0252227783203,0.0,16.0
Living_Things,32,../experiment_stimuli/bw_bc_bl/Living_Things/Animals/giraffe_18.jpg,Animals,giraffe,1.0,2.0,2,359.763977051,359.76397705078125,0.0,356.804016113,356.80401611328125,0.0,2.5,2.5,6.0,6.0,4,0.0,0.0,0.0,'1',0.650308132172,0.6503081321716309,0.0,'nV_V',0.0,0.0,0.0,'2',0.28029769659,0.2802976965904236,0.0,361.274505615,361.2745056152344,0.0,26.0
Nonliving_Things,89,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Musical_Inst/tuba_25.jpg,Musical_Inst,tuba,1.0,2.0,2,69.0259246826,69.02592468261719,0.0,66.5454864502,66.54548645019531,0.0,2.0,2.0,7.0,7.0,3,1.0,1.0,0.0,'2',0.800333321095,0.8003333210945129,0.0,'V_nV',0.0,0.0,0.0,'2',0.120349675417,0.12034967541694641,0.0,70.5359649658,70.53596496582031,0.0,4.0
Living_Things,40,../experiment_stimuli/bw_bc_bl/Living_Things/Animals/horse_23.jpg,Animals,horse,1.0,1.0,1,160.694961548,160.69496154785156,0.0,158.195022583,158.1950225830078,0.0,2.0,2.0,6.5,6.5,6,1.0,1.0,0.0,'1',0.710300207138,0.7103002071380615,0.0,'V_nV',0.0,0.0,0.0,'3',0.240410909057,0.2404109090566635,0.0,162.205612183,162.2056121826172,0.0,11.0
Nonliving_Things,66,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Kitchen_Uten/pot_23.jpg,Kitchen_Uten,pot,1.0,2.0,2,133.885131836,133.8851318359375,0.0,131.42515564,131.42515563964844,0.0,2.0,2.0,7.0,7.0,2,0.0,0.0,0.0,'1',0.830179154873,0.8301791548728943,0.0,'V_nV',1.0,1.0,0.0,'1',0.380298912525,0.380298912525177,0.0,135.395782471,135.39578247070312,0.0,9.0
Living_Things,70,../experiment_stimuli/bw_bc_bl/Living_Things/Birds/rooster_7.jpg,Birds,rooster,1.0,2.0,2,147.775054932,147.77505493164062,0.0,145.305084229,145.30508422851562,0.0,2.0,2.0,6.0,6.0,4,1.0,1.0,0.0,'2',1.11029863358,1.1102986335754395,0.0,'nV_V',1.0,1.0,0.0,'1',0.520306169987,0.5203061699867249,0.0,149.285705566,149.28570556640625,0.0,10.0
Nonliving_Things,72,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Musical_Inst/saxophone_7.jpg,Musical_Inst,saxophone,1.0,1.0,1,386.443817139,386.4438171386719,0.0,384.523864746,384.52386474609375,0.0,1.5,1.5,7.0,7.0,1,0.0,0.0,0.0,'2',0.76032346487,0.7603234648704529,0.0,'nV_V',1.0,1.0,0.0,'1',0.370306283236,0.3703062832355499,0.0,387.954406738,387.95440673828125,0.0,28.0
Living_Things,94,../experiment_stimuli/bw_bc_bl/Living_Things/Marine_creatures/whale_13.jpg,Marine_creatures,whale,1.0,1.0,1,267.114501953,267.114501953125,0.0,264.184539795,264.1845397949219,0.0,2.5,2.5,8.0,8.0,1,1.0,1.0,0.0,'1',0.750180959702,0.7501809597015381,0.0,'V_nV',0.0,0.0,0.0,'2',0.900306522846,0.9003065228462219,0.0,268.625030518,268.6250305175781,0.0,19.0
Nonliving_Things,71,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Kitchen_Uten/saucepan_7.jpg,Kitchen_Uten,saucepan,1.0,2.0,2,28.3356590271,28.33565902709961,0.0,24.8357181549,24.835718154907227,0.0,3.0,3.0,6.0,6.0,5,1.0,1.0,0.0,'2',0.680297851562,0.6802978515625,0.0,'V_nV',0.0,0.0,0.0,'3',0.430303037167,0.43030303716659546,0.0,29.8462181091,29.84621810913086,0.0,1.0
