category,index,probe_path,subcategory,label,n,correctAns_mean,correctAns_raw,discrim_resptime_mean,discrim_resptime_raw,discrim_resptime_std,image_onset_time_mean,image_onset_time_raw,image_onset_time_std,jitter1_mean,jitter1_raw,jitter2_mean,jitter2_raw,probe_Frames_raw,response.corr_mean,response.corr_raw,response.corr_std,response.keys_raw,response.rt_mean,response.rt_raw,response.rt_std,response_window_raw,visible.corr_mean,visible.corr_raw,visible.corr_std,visible.keys_raw,visible.rt_mean,visible.rt_raw,visible.rt_std,visible_resptime_mean,visible_resptime_raw,visible_resptime_std,order
Nonliving_Things,30,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Kitchen_Uten/fondue_10.jpg,Kitchen_Uten,fondue,1.0,2.0,2,273.440887451,273.4408874511719,0.0,270.63092041,270.63092041015625,0.0,2.5,2.5,8.0,8.0,6,1.0,1.0,0.0,'2',0.700272619724,0.7002726197242737,0.0,'V_nV',0.0,0.0,0.0,'3',0.370323240757,0.3703232407569885,0.0,274.951416016,274.951416015625,0.0,20.0
Living_Things,13,../experiment_stimuli/bw_bc_bl/Living_Things/Animals/cat_14.jpg,Animals,cat,1.0,1.0,1,313.000732422,313.000732421875,0.0,310.170776367,310.1707763671875,0.0,2.5,2.5,6.0,6.0,9,1.0,1.0,0.0,'1',0.600323200226,0.6003232002258301,0.0,'V_nV',0.0,0.0,0.0,'3',0.360307097435,0.36030709743499756,0.0,314.511260986,314.5112609863281,0.0,23.0
Nonliving_Things,19,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Furniture/couch_9.jpg,Furniture,couch,1.0,1.0,1,388.420318604,388.4203186035156,0.0,386.660369873,386.6603698730469,0.0,1.5,1.5,7.5,7.5,3,0.0,0.0,0.0,'2',0.8503267169,0.8503267168998718,0.0,'nV_V',0.0,0.0,0.0,'2',0.310331791639,0.310331791639328,0.0,389.930877686,389.9308776855469,0.0,29.0
Nonliving_Things,54,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Vehicles/motorbike_21.jpg,Vehicles,motorbike,1.0,1.0,1,195.931259155,195.93125915527344,0.0,194.171310425,194.1713104248047,0.0,1.5,1.5,6.5,6.5,3,1.0,1.0,0.0,'1',0.870345294476,0.8703452944755554,0.0,'nV_V',0.0,0.0,0.0,'3',0.380265265703,0.3802652657032013,0.0,197.441802979,197.44180297851562,0.0,14.0
Living_Things,26,../experiment_stimuli/bw_bc_bl/Living_Things/Birds/duck_11.jpg,Birds,duck,1.0,1.0,1,182.951324463,182.95132446289062,0.0,180.701370239,180.7013702392578,0.0,2.0,2.0,7.0,7.0,2,1.0,1.0,0.0,'1',1.13032114506,1.1303211450576782,0.0,'V_nV',1.0,1.0,0.0,'1',0.780311942101,0.7803119421005249,0.0,184.461868286,184.4618682861328,0.0,13.0
Living_Things,80,../experiment_stimuli/bw_bc_bl/Living_Things/Marine_creatures/sperm-whale_22.jpg,Marine_creatures,sperm-whale,1.0,1.0,1,246.921051025,246.92105102539062,0.0,244.111053467,244.11105346679688,0.0,2.5,2.5,6.0,6.0,6,1.0,1.0,0.0,'1',0.490325331688,0.49032533168792725,0.0,'V_nV',0.0,0.0,0.0,'3',0.390328168869,0.39032816886901855,0.0,248.431564331,248.4315643310547,0.0,18.0
Nonliving_Things,31,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Kitchen_Uten/frying-pan_18.jpg,Kitchen_Uten,frying-pan,1.0,1.0,1,403.920227051,403.92022705078125,0.0,400.140319824,400.14031982421875,0.0,3.5,3.5,6.5,6.5,2,1.0,1.0,0.0,'1',0.660320520401,0.660320520401001,0.0,'nV_V',1.0,1.0,0.0,'1',0.450315475464,0.4503154754638672,0.0,405.430877686,405.4308776855469,0.0,30.0
Living_Things,84,../experiment_stimuli/bw_bc_bl/Living_Things/Animals/tiger_9.jpg,Animals,tiger,1.0,2.0,2,13.4224309921,13.422430992126465,0.0,11.4525089264,11.452508926391602,0.0,1.5,1.5,7.0,7.0,'3.0',0.0,0.0,0.0,'1',0.580334722996,0.5803347229957581,0.0,'nV_V',1.0,1.0,0.0,'1',0.310325533152,0.3103255331516266,0.0,14.9334449768,14.93344497680664,0.0,0.0
Nonliving_Things,25,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Musical_Inst/drum_25.jpg,Musical_Inst,drum,1.0,2.0,2,81.4122009277,81.41220092773438,0.0,79.56224823,79.56224822998047,0.0,1.5,1.5,6.5,6.5,2,1.0,1.0,0.0,'2',0.790405035019,0.7904050350189209,0.0,'V_nV',1.0,1.0,0.0,'1',0.430429816246,0.4304298162460327,0.0,82.9226989746,82.92269897460938,0.0,5.0
Living_Things,79,../experiment_stimuli/bw_bc_bl/Living_Things/Birds/sparrow_1.jpg,Birds,sparrow,1.0,2.0,2,375.94039917,375.9403991699219,0.0,374.180419922,374.180419921875,0.0,1.5,1.5,6.5,6.5,2,0.0,0.0,0.0,'1',0.650312423706,0.6503124237060547,0.0,'nV_V',1.0,1.0,0.0,'1',0.440304517746,0.4403045177459717,0.0,377.45098877,377.45098876953125,0.0,28.0
