category,index,probe_path,subcategory,label,n,correctAns_mean,correctAns_raw,discrim_resptime_mean,discrim_resptime_raw,discrim_resptime_std,image_onset_time_mean,image_onset_time_raw,image_onset_time_std,jitter1_mean,jitter1_raw,jitter2_mean,jitter2_raw,probe_Frames_raw,response.corr_mean,response.corr_raw,response.corr_std,response.keys_raw,response.rt_mean,response.rt_raw,response.rt_std,response_window_raw,visible.corr_mean,visible.corr_raw,visible.corr_std,visible.keys_raw,visible.rt_mean,visible.rt_raw,visible.rt_std,visible_resptime_mean,visible_resptime_raw,visible_resptime_std,order
Nonliving_Things,71,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Kitchen_Uten/saucepan_0.jpg,Kitchen_Uten,saucepan,1.0,1.0,1,133.379547119,133.37954711914062,0.0,131.439605713,131.43960571289062,0.0,1.5,1.5,6.5,6.5,2,1.0,1.0,0.0,'1',0.860319256783,0.8603192567825317,0.0,'nV_V',0.0,0.0,0.0,'3',0.69033318758,0.6903331875801086,0.0,134.890106201,134.89010620117188,0.0,9.0
Living_Things,73,../experiment_stimuli/bw_bc_bl/Living_Things/Insects/scorpion_2.jpg,Insects,scorpion,1.0,2.0,2,426.748168945,426.7481689453125,0.0,424.718231201,424.7182312011719,0.0,1.5,1.5,6.0,6.0,7,0.0,0.0,0.0,'1',0.690479516983,0.6904795169830322,0.0,'nV_V',0.0,0.0,0.0,'2',0.810399651527,0.8103996515274048,0.0,428.25869751,428.2586975097656,0.0,31.0
Nonliving_Things,72,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Musical_Inst/saxophone_2.jpg,Musical_Inst,saxophone,1.0,2.0,2,412.308166504,412.30816650390625,0.0,410.328216553,410.3282165527344,0.0,1.5,1.5,8.0,8.0,5,1.0,1.0,0.0,'2',1.24011337757,1.240113377571106,0.0,'V_nV',1.0,1.0,0.0,'1',1.21033406258,1.210334062576294,0.0,413.818786621,413.81878662109375,0.0,30.0
Nonliving_Things,86,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Vehicles/tractor_24.jpg,Vehicles,tractor,1.0,2.0,2,293.898742676,293.89874267578125,0.0,291.478790283,291.4787902832031,0.0,2.0,2.0,6.5,6.5,3,1.0,1.0,0.0,'2',0.930322170258,0.9303221702575684,0.0,'V_nV',1.0,1.0,0.0,'1',0.470330655575,0.4703306555747986,0.0,295.409332275,295.4093322753906,0.0,21.0
Nonliving_Things,88,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Musical_Inst/trumpet_22.jpg,Musical_Inst,trumpet,1.0,1.0,1,119.019645691,119.01964569091797,0.0,117.029670715,117.02967071533203,0.0,1.5,1.5,8.0,8.0,5,1.0,1.0,0.0,'1',0.650316298008,0.6503162980079651,0.0,'nV_V',0.0,0.0,0.0,'3',0.480335891247,0.48033589124679565,0.0,120.530174255,120.5301742553711,0.0,8.0
Living_Things,43,../experiment_stimuli/bw_bc_bl/Living_Things/Marine_creatures/killer-whale_19.jpg,Marine_creatures,killer-whale,1.0,1.0,1,68.4598693848,68.45986938476562,0.0,64.5099334717,64.50993347167969,0.0,3.5,3.5,6.0,6.0,2,1.0,1.0,0.0,'1',1.09032893181,1.0903289318084717,0.0,'V_nV',1.0,1.0,0.0,'1',1.40038406849,1.4003840684890747,0.0,69.970489502,69.97048950195312,0.0,4.0
Nonliving_Things,81,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Furniture/table_13.jpg,Furniture,table,1.0,1.0,1,40.1900100708,40.19001007080078,0.0,37.7400665283,37.74006652832031,0.0,2.0,2.0,7.0,7.0,2,1.0,1.0,0.0,'1',0.420388489962,0.42038848996162415,0.0,'nV_V',1.0,1.0,0.0,'1',1.16028177738,1.160281777381897,0.0,41.7006454468,41.700645446777344,0.0,2.0
Living_Things,33,../experiment_stimuli/bw_bc_bl/Living_Things/Birds/goldfinch_11.jpg,Birds,goldfinch,1.0,1.0,1,81.339805603,81.33980560302734,0.0,78.8799591064,78.87995910644531,0.0,2.0,2.0,6.0,6.0,3,0.0,0.0,0.0,'2',1.3903554678,1.3903554677963257,0.0,'V_nV',1.0,1.0,0.0,'1',1.17015635967,1.1701563596725464,0.0,82.8504257202,82.85042572021484,0.0,5.0
Living_Things,40,../experiment_stimuli/bw_bc_bl/Living_Things/Animals/horse_24.jpg,Animals,horse,1.0,1.0,1,320.46862793,320.4686279296875,0.0,318.548675537,318.5486755371094,0.0,1.5,1.5,6.5,6.5,3,0.0,0.0,0.0,'2',1.1701772213,1.1701772212982178,0.0,'V_nV',1.0,1.0,0.0,'1',0.710317492485,0.7103174924850464,0.0,321.979187012,321.97918701171875,0.0,23.0
Living_Things,70,../experiment_stimuli/bw_bc_bl/Living_Things/Birds/rooster_25.jpg,Birds,rooster,1.0,1.0,1,201.709259033,201.70925903320312,0.0,199.229278564,199.22927856445312,0.0,2.0,2.0,6.5,6.5,5,1.0,1.0,0.0,'1',0.67031788826,0.6703178882598877,0.0,'V_nV',0.0,0.0,0.0,'2',1.15032482147,1.150324821472168,0.0,203.219909668,203.21990966796875,0.0,14.0
