category,index,probe_path,subcategory,label,n,correctAns_mean,correctAns_raw,discrim_resptime_mean,discrim_resptime_raw,discrim_resptime_std,image_onset_time_mean,image_onset_time_raw,image_onset_time_std,jitter1_mean,jitter1_raw,jitter2_mean,jitter2_raw,probe_Frames_raw,response.corr_mean,response.corr_raw,response.corr_std,response.keys_raw,response.rt_mean,response.rt_raw,response.rt_std,response_window_raw,visible.corr_mean,visible.corr_raw,visible.corr_std,visible.keys_raw,visible.rt_mean,visible.rt_raw,visible.rt_std,visible_resptime_mean,visible_resptime_raw,visible_resptime_std,order
Living_Things,75,../experiment_stimuli/bw_bc_bl/Living_Things/Marine_creatures/shark_19.jpg,Marine_creatures,shark,1.0,2.0,2,77.6790237427,77.67902374267578,0.0,75.7290649414,75.72906494140625,0.0,1.5,1.5,6.5,6.5,2,1.0,1.0,0.0,'2',1.03030610085,1.030306100845337,0.0,'nV_V',0.0,0.0,0.0,'2',0.390258580446,0.3902585804462433,0.0,79.189666748,79.18966674804688,0.0,5.0
Living_Things,48,../experiment_stimuli/bw_bc_bl/Living_Things/Animals/lioness_9.jpg,Animals,lioness,1.0,2.0,2,335.037750244,335.0377502441406,0.0,331.597808838,331.5978088378906,0.0,3.0,3.0,6.0,6.0,1,1.0,1.0,0.0,'2',0.520301222801,0.5203012228012085,0.0,'nV_V',1.0,1.0,0.0,'1',0.130345016718,0.13034501671791077,0.0,336.548339844,336.54833984375,0.0,24.0
Nonliving_Things,18,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Kitchen_Uten/coking-pot_1.jpg,Kitchen_Uten,coking-pot,1.0,2.0,2,65.3390808105,65.33908081054688,0.0,62.3591690063,62.359169006347656,0.0,2.5,2.5,6.0,6.0,5,0.0,0.0,0.0,'1',0.780159592628,0.780159592628479,0.0,'V_nV',0.0,0.0,0.0,'3',0.390295922756,0.39029592275619507,0.0,66.8496246338,66.84962463378906,0.0,4.0
Nonliving_Things,7,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Vehicles/boat_15.jpg,Vehicles,boat,1.0,2.0,2,321.177825928,321.1778259277344,0.0,319.207855225,319.2078552246094,0.0,1.5,1.5,6.0,6.0,4,0.0,0.0,0.0,'1',0.600319981575,0.6003199815750122,0.0,'V_nV',0.0,0.0,0.0,'3',0.420310258865,0.42031025886535645,0.0,322.688415527,322.68841552734375,0.0,23.0
Living_Things,57,../experiment_stimuli/bw_bc_bl/Living_Things/Birds/owl_24.jpg,Birds,owl,1.0,2.0,2,146.918670654,146.91867065429688,0.0,144.978729248,144.97872924804688,0.0,1.5,1.5,7.0,7.0,1,1.0,1.0,0.0,'2',0.920320212841,0.9203202128410339,0.0,'nV_V',0.0,0.0,0.0,'2',0.290302366018,0.2903023660182953,0.0,148.429244995,148.4292449951172,0.0,10.0
Nonliving_Things,6,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Furniture/bedside-table_9.jpg,Furniture,bedside-table,1.0,2.0,2,26.7393093109,26.739309310913086,0.0,24.2993602753,24.299360275268555,0.0,2.0,2.0,6.0,6.0,4,1.0,1.0,0.0,'2',0.570305943489,0.5703059434890747,0.0,'V_nV',0.0,0.0,0.0,'2',0.410177767277,0.4101777672767639,0.0,28.2498416901,28.249841690063477,0.0,1.0
Nonliving_Things,9,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Vehicles/bus_2.jpg,Vehicles,bus,1.0,1.0,1,13.3993377686,13.399337768554688,0.0,11.3994417191,11.399441719055176,0.0,1.5,1.5,6.5,6.5,'6.0',1.0,1.0,0.0,'1',0.740325212479,0.7403252124786377,0.0,'nV_V',0.0,0.0,0.0,'3',0.210308998823,0.2103089988231659,0.0,14.9103155136,14.91031551361084,0.0,0.0
Nonliving_Things,11,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Vehicles/car_2.jpg,Vehicles,car,1.0,2.0,2,374.647583008,374.6475830078125,0.0,372.697631836,372.6976318359375,0.0,1.5,1.5,6.0,6.0,2,1.0,1.0,0.0,'2',0.660313248634,0.6603132486343384,0.0,'V_nV',0.0,0.0,0.0,'2',0.110306188464,0.11030618846416473,0.0,376.158111572,376.1581115722656,0.0,27.0
Living_Things,52,../experiment_stimuli/bw_bc_bl/Living_Things/Marine_creatures/manatee_7.jpg,Marine_creatures,manatee,1.0,1.0,1,282.57800293,282.5780029296875,0.0,280.138061523,280.1380615234375,0.0,2.0,2.0,6.5,6.5,2,1.0,1.0,0.0,'1',0.570259928703,0.5702599287033081,0.0,'V_nV',0.0,0.0,0.0,'2',0.0203130226582,0.020313022658228874,0.0,284.088562012,284.08856201171875,0.0,20.0
Living_Things,60,../experiment_stimuli/bw_bc_bl/Living_Things/Birds/pelican_3.jpg,Birds,pelican,1.0,1.0,1,39.0792274475,39.079227447509766,0.0,37.1292953491,37.129295349121094,0.0,1.5,1.5,6.0,6.0,3,1.0,1.0,0.0,'1',1.39030623436,1.3903062343597412,0.0,'V_nV',0.0,0.0,0.0,,,,,40.5897445679,40.589744567871094,0.0,2.0
Nonliving_Things,5,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Furniture/bed_20.jpg,Furniture,bed,1.0,2.0,2,387.507476807,387.5074768066406,0.0,385.0675354,385.0675354003906,0.0,2.0,2.0,8.0,8.0,1,1.0,1.0,0.0,'2',0.560307741165,0.5603077411651611,0.0,'V_nV',0.0,0.0,0.0,'2',0.230321362615,0.23032136261463165,0.0,389.018005371,389.01800537109375,0.0,28.0
Living_Things,67,../experiment_stimuli/bw_bc_bl/Living_Things/Birds/raven_9.jpg,Birds,raven,1.0,1.0,1,201.918457031,201.91845703125,0.0,197.948471069,197.94847106933594,0.0,3.5,3.5,7.0,7.0,4,1.0,1.0,0.0,'1',0.750301122665,0.7503011226654053,0.0,'V_nV',0.0,0.0,0.0,'3',0.310288578272,0.31028857827186584,0.0,203.429000854,203.4290008544922,0.0,14.0
Nonliving_Things,15,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Furniture/chair_6.jpg,Furniture,chair,1.0,2.0,2,256.848144531,256.84814453125,0.0,254.918182373,254.91818237304688,0.0,1.5,1.5,6.0,6.0,1,0.0,0.0,0.0,'1',0.820291340351,0.8202913403511047,0.0,'V_nV',1.0,1.0,0.0,'1',0.220295920968,0.22029592096805573,0.0,258.358673096,258.3586730957031,0.0,18.0
Nonliving_Things,3,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Tools/axe_8.jpg,Tools,axe,1.0,2.0,2,230.138259888,230.1382598876953,0.0,227.188339233,227.18833923339844,0.0,2.5,2.5,8.0,8.0,3,0.0,0.0,0.0,'1',0.770297110081,0.770297110080719,0.0,'V_nV',0.0,0.0,0.0,'2',0.250287473202,0.2502874732017517,0.0,231.648803711,231.6488037109375,0.0,16.0
Nonliving_Things,8,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Furniture/bookcase_5.jpg,Furniture,bookcase,1.0,2.0,2,361.777648926,361.77764892578125,0.0,358.827697754,358.82769775390625,0.0,2.5,2.5,6.5,6.5,3,0.0,0.0,0.0,'1',0.500328242779,0.5003282427787781,0.0,'V_nV',0.0,0.0,0.0,'2',0.0903094857931,0.09030948579311371,0.0,363.28817749,363.2881774902344,0.0,26.0
Nonliving_Things,0,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Furniture/Chest-of-drawers_20.jpg,Furniture,Chest-of-drawers,1.0,1.0,1,269.228057861,269.2280578613281,0.0,267.268127441,267.26812744140625,0.0,1.5,1.5,6.5,6.5,3,0.0,0.0,0.0,'2',0.670299351215,0.6702993512153625,0.0,'nV_V',0.0,0.0,0.0,'2',0.190311029553,0.1903110295534134,0.0,270.738647461,270.7386474609375,0.0,19.0
Living_Things,51,../experiment_stimuli/bw_bc_bl/Living_Things/Birds/magpie_12.jpg,Birds,magpie,1.0,1.0,1,426.597290039,426.5972900390625,0.0,424.637329102,424.6373291015625,0.0,1.5,1.5,6.0,6.0,3,1.0,1.0,0.0,'1',0.740304112434,0.7403041124343872,0.0,'V_nV',0.0,0.0,0.0,'2',0.270094513893,0.27009451389312744,0.0,428.107818604,428.1078186035156,0.0,31.0
Living_Things,56,../experiment_stimuli/bw_bc_bl/Living_Things/Birds/ostrich_5.jpg,Birds,ostrich,1.0,2.0,2,215.768341064,215.76834106445312,0.0,213.338378906,213.33837890625,0.0,2.0,2.0,7.0,7.0,2,1.0,1.0,0.0,'2',0.720288932323,0.7202889323234558,0.0,'nV_V',1.0,1.0,0.0,'1',0.320260167122,0.3202601671218872,0.0,217.278884888,217.2788848876953,0.0,15.0
Living_Things,50,../experiment_stimuli/bw_bc_bl/Living_Things/Animals/lynx_4.jpg,Animals,lynx,1.0,2.0,2,414.217407227,414.2174072265625,0.0,412.26739502,412.26739501953125,0.0,1.5,1.5,6.0,6.0,2,1.0,1.0,0.0,'2',0.570319712162,0.5703197121620178,0.0,'nV_V',1.0,1.0,0.0,'1',0.0103234043345,0.01032340433448553,0.0,415.727905273,415.7279052734375,0.0,30.0
Nonliving_Things,14,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Buildings/cathedral_7.jpg,Buildings,cathedral,1.0,1.0,1,308.79788208,308.7978820800781,0.0,306.857910156,306.85791015625,0.0,1.5,1.5,6.0,6.0,1,0.0,0.0,0.0,'2',0.630307137966,0.630307137966156,0.0,'nV_V',1.0,1.0,0.0,'1',0.410300403833,0.4103004038333893,0.0,310.308441162,310.3084411621094,0.0,22.0
Living_Things,68,../experiment_stimuli/bw_bc_bl/Living_Things/Animals/rhino_1.jpg,Animals,rhino,1.0,1.0,1,51.9491462708,51.94914627075195,0.0,49.4892158508,49.48921585083008,0.0,2.0,2.0,6.0,6.0,3,1.0,1.0,0.0,'1',0.760170280933,0.7601702809333801,0.0,'V_nV',1.0,1.0,0.0,'1',0.400261431932,0.40026143193244934,0.0,53.4596786499,53.459678649902344,0.0,3.0
Living_Things,90,../experiment_stimuli/bw_bc_bl/Living_Things/Animals/turtle_26.jpg,Animals,turtle,1.0,1.0,1,106.358909607,106.3589096069336,0.0,102.428939819,102.42893981933594,0.0,3.5,3.5,6.0,6.0,1,1.0,1.0,0.0,'1',0.680088937283,0.6800889372825623,0.0,'V_nV',1.0,1.0,0.0,'1',0.900175094604,0.9001750946044922,0.0,107.869415283,107.86941528320312,0.0,7.0
Nonliving_Things,17,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Buildings/church_17.jpg,Buildings,church,1.0,1.0,1,296.437927246,296.43792724609375,0.0,293.49798584,293.49798583984375,0.0,2.5,2.5,6.0,6.0,1,0.0,0.0,0.0,'2',0.740308403969,0.740308403968811,0.0,'nV_V',0.0,0.0,0.0,'2',0.260301828384,0.2603018283843994,0.0,297.948547363,297.94854736328125,0.0,21.0
