category,index,probe_path,subcategory,label,n,correctAns_mean,correctAns_raw,discrim_resptime_mean,discrim_resptime_raw,discrim_resptime_std,image_onset_time_mean,image_onset_time_raw,image_onset_time_std,jitter1_mean,jitter1_raw,jitter2_mean,jitter2_raw,probe_Frames_raw,response.corr_mean,response.corr_raw,response.corr_std,response.keys_raw,response.rt_mean,response.rt_raw,response.rt_std,response_window_raw,visible.corr_mean,visible.corr_raw,visible.corr_std,visible.keys_raw,visible.rt_mean,visible.rt_raw,visible.rt_std,visible_resptime_mean,visible_resptime_raw,visible_resptime_std,order
Nonliving_Things,36,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Musical_Inst/guitar_3.jpg,Musical_Inst,guitar,1.0,1.0,1,146.57824707,146.5782470703125,0.0,144.318283081,144.3182830810547,0.0,2.0,2.0,6.5,6.5,3,1.0,1.0,0.0,'1',0.770311594009,0.7703115940093994,0.0,'nV_V',0.0,0.0,0.0,'2',0.250296413898,0.250296413898468,0.0,148.088821411,148.0888214111328,0.0,10.0
Living_Things,85,../experiment_stimuli/bw_bc_bl/Living_Things/Birds/toucan_7.jpg,Birds,toucan,1.0,2.0,2,275.027648926,275.02764892578125,0.0,273.247680664,273.2476806640625,0.0,1.5,1.5,7.0,7.0,5,0.0,0.0,0.0,'1',1.41030848026,1.4103084802627563,0.0,'nV_V',0.0,0.0,0.0,,,,,276.53817749,276.5381774902344,0.0,20.0
Nonliving_Things,35,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Buildings/granary_20.jpg,Buildings,granary,1.0,1.0,1,338.477355957,338.47735595703125,0.0,336.677368164,336.6773681640625,0.0,1.5,1.5,6.0,6.0,6,1.0,1.0,0.0,'1',0.930314600468,0.9303146004676819,0.0,'nV_V',0.0,0.0,0.0,'3',0.370366543531,0.37036654353141785,0.0,339.987884521,339.9878845214844,0.0,25.0
Nonliving_Things,22,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Kitchen_Uten/cup_2.jpg,Kitchen_Uten,cup,1.0,2.0,2,107.608436584,107.60843658447266,0.0,105.318481445,105.3184814453125,0.0,2.0,2.0,6.0,6.0,6,1.0,1.0,0.0,'2',0.500302731991,0.5003027319908142,0.0,'V_nV',0.0,0.0,0.0,'3',0.230298489332,0.2302984893321991,0.0,109.118988037,109.11898803710938,0.0,7.0
Nonliving_Things,31,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Kitchen_Uten/frying-pan_7.jpg,Kitchen_Uten,frying-pan,1.0,1.0,1,390.447143555,390.4471435546875,0.0,387.667175293,387.66717529296875,0.0,2.5,2.5,6.0,6.0,4,1.0,1.0,0.0,'1',0.700335919857,0.7003359198570251,0.0,'nV_V',0.0,0.0,0.0,'3',0.390320211649,0.39032021164894104,0.0,391.957641602,391.9576416015625,0.0,29.0
Nonliving_Things,47,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Furniture/lectern_8.jpg,Furniture,lectern,1.0,1.0,1,93.5985183716,93.59851837158203,0.0,91.8085479736,91.80854797363281,0.0,1.5,1.5,7.5,7.5,6,1.0,1.0,0.0,'1',0.820291221142,0.8202912211418152,0.0,'nV_V',0.0,0.0,0.0,,,,,95.1090393066,95.10903930664062,0.0,6.0
Living_Things,79,../experiment_stimuli/bw_bc_bl/Living_Things/Birds/sparrow_20.jpg,Birds,sparrow,1.0,1.0,1,234.037826538,234.03782653808594,0.0,232.24786377,232.24786376953125,0.0,1.5,1.5,7.0,7.0,5,1.0,1.0,0.0,'1',0.990323841572,0.9903238415718079,0.0,'V_nV',0.0,0.0,0.0,'2',0.260295718908,0.26029571890830994,0.0,235.54838562,235.5483856201172,0.0,17.0
Living_Things,16,../experiment_stimuli/bw_bc_bl/Living_Things/Animals/cheetah_11.jpg,Animals,cheetah,1.0,1.0,1,67.5986480713,67.59864807128906,0.0,65.2886886597,65.28868865966797,0.0,2.0,2.0,6.5,6.5,7,1.0,1.0,0.0,'1',0.790294587612,0.7902945876121521,0.0,'V_nV',0.0,0.0,0.0,'3',0.340289235115,0.34028923511505127,0.0,69.1091690063,69.10916900634766,0.0,4.0
Nonliving_Things,41,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Buildings/house_9.jpg,Buildings,house,1.0,2.0,2,314.487457275,314.4874572753906,0.0,312.737487793,312.73748779296875,0.0,1.5,1.5,6.0,6.0,2,0.0,0.0,0.0,'1',1.34029483795,1.3402948379516602,0.0,'V_nV',1.0,1.0,0.0,'1',0.300305277109,0.3003052771091461,0.0,315.99798584,315.99798583984375,0.0,23.0
Living_Things,82,../experiment_stimuli/bw_bc_bl/Living_Things/Animals/tapir_1.jpg,Animals,tapir,1.0,2.0,2,351.48727417,351.4872741699219,0.0,348.697296143,348.6972961425781,0.0,2.5,2.5,6.0,6.0,4,1.0,1.0,0.0,'2',0.690294325352,0.6902943253517151,0.0,'nV_V',0.0,0.0,0.0,'2',0.350368022919,0.35036802291870117,0.0,352.997802734,352.997802734375,0.0,26.0
