sub,visibility,probe_frame_mean,probe_frame_std,report,subject
sub-01,1,18.77237851662404,10.561080614900321,18.77+/-10.56,sub-01
sub-01,2,29.956427015250544,11.163191200478574,29.96+/-11.16,sub-01
sub-01,3,40.93385214007782,13.08099216336962,40.93+/-13.08,sub-01
sub-03,1,16.533101045296167,9.163713384690647,16.53+/-9.16,sub-02
sub-03,2,24.216216216216218,13.398537909615836,24.22+/-13.40,sub-02
sub-03,3,36.75,13.603767860412791,36.75+/-13.60,sub-02
sub-04,1,33.75494071146245,17.422836428450985,33.75+/-17.42,sub-03
sub-04,2,47.99249530956848,16.6382981196251,47.99+/-16.64,sub-03
sub-04,3,53.02884615384615,19.487647335392722,53.03+/-19.49,sub-03
sub-05,1,34.82195845697329,16.478951371399358,34.82+/-16.48,sub-04
sub-05,2,49.077568134171905,17.02102103837352,49.08+/-17.02,sub-04
sub-05,3,55.40845070422535,18.20197904794021,55.41+/-18.20,sub-04
sub-02,1,104.09722222222223,272.1881834586252,104.10+/-272.19,sub-05
sub-02,2,189.4,354.82621098222154,189.40+/-354.83,sub-05
sub-02,3,121.49193548387096,264.65702077337943,121.49+/-264.66,sub-05
sub-06,1,22.706666666666667,13.981200075657153,22.71+/-13.98,sub-06
sub-06,2,35.61827956989247,15.498681499499108,35.62+/-15.50,sub-06
sub-06,3,42.68166089965398,17.44707397591347,42.68+/-17.45,sub-06
sub-07,1,28.223880597014926,15.937677966718287,28.22+/-15.94,sub-07
sub-07,2,40.5616224648986,16.877914189354332,40.56+/-16.88,sub-07
sub-07,3,47.032640949554896,18.619462787875083,47.03+/-18.62,sub-07
