feature_selector,roi_name,condition_source,condition_target,counts,diff_mean,diff_std,diff_sig
None,fusiform,conscious,conscious,7,0.2709981953071767,0.06837325372201375,0.2709981953071767
None,fusiform,conscious,glimpse,7,0.1888779068937087,0.08115730781545477,0.1888779068937087
None,fusiform,conscious,unconscious,7,0.06677811914266923,0.0171934575888734,0.06677811914266923
None,fusiform,glimpse,conscious,7,0.23646494051515862,0.08939991724256066,0.23646494051515862
None,fusiform,glimpse,glimpse,7,0.16247901674868961,0.07862973865344022,0.16247901674868961
None,fusiform,glimpse,unconscious,6,0.032850398557096164,0.01795678118513724,0.03891058738571819
None,fusiform,unconscious,conscious,6,0.07911344394647397,0.05572595603701048,0.08873956443336094
None,fusiform,unconscious,glimpse,5,0.047294616889003036,0.03887721639322821,0.0666610333583791
None,fusiform,unconscious,unconscious,6,0.03521801135541536,0.0202482700352822,0.04170517865738407
None,inferiorparietal,conscious,conscious,7,0.19212257867533217,0.07504069512944565,0.19212257867533217
None,inferiorparietal,conscious,glimpse,6,0.11692137707638697,0.06930569991373148,0.13573745460423908
None,inferiorparietal,conscious,unconscious,6,0.035989107803099045,0.017607526169946357,0.041028447755939355
None,inferiorparietal,glimpse,conscious,6,0.14960599623358736,0.0857775964653834,0.17731196791391154
None,inferiorparietal,glimpse,glimpse,6,0.12053562882533118,0.08770418432333574,0.142232329384572
None,inferiorparietal,glimpse,unconscious,4,0.02650068076281265,0.023853178719286525,0.045103105449600486
None,inferiorparietal,unconscious,conscious,5,0.03780006185257317,0.06465346505705659,0.06952839186078642
None,inferiorparietal,unconscious,glimpse,5,0.04429987568374928,0.04712763835586334,0.06899648452623103
None,inferiorparietal,unconscious,unconscious,4,0.025560275422714194,0.022399101622518392,0.04122534278758414
None,inferiortemporal,conscious,conscious,7,0.16282464605669872,0.05981882469190742,0.16282464605669872
None,inferiortemporal,conscious,glimpse,7,0.1126618231300595,0.06218571900182526,0.1126618231300595
None,inferiortemporal,conscious,unconscious,6,0.03851710085686151,0.022458074477461572,0.042674625276779336
None,inferiortemporal,glimpse,conscious,7,0.15022703543477361,0.06875972307859587,0.15022703543477361
None,inferiortemporal,glimpse,glimpse,7,0.08306901792931377,0.04515851705662993,0.08306901792931377
None,inferiortemporal,glimpse,unconscious,5,0.03302732380080302,0.0320395574780819,0.049477157583459844
