sub,n,ROI,region,conscious_state_source,conscious_state_target,ROC AUC,Effect size,Confidence interval,p value,Corrected p value,x_order
sub-01,2024,Superior frontal gyrus,Working Memory,conscious,conscious,0.58 $\pm$ 0.23,0.33604219021366827,"[0.567,0.587]",9.99990000099999e-06,0.001079989200107999,9
sub-01,2024,Middle fontal gyrus,Working Memory,conscious,conscious,0.52 $\pm$ 0.26,0.07715427944640905,"[0.509,0.531]",0.0003999960000399,0.0431995680043092,10
sub-01,2024,Inferior frontal gyrus,Working Memory,conscious,conscious,0.74 $\pm$ 0.22,1.1140354780537973,"[0.733,0.752]",9.99990000099999e-06,0.001079989200107999,11
sub-01,2304,Superior parietal gyrus,Working Memory,conscious,unconscious,0.54 $\pm$ 0.16,0.2460604326425977,"[0.533,0.547]",9.99990000099999e-06,0.001079989200107999,7
sub-01,2304,Superior frontal gyrus,Working Memory,conscious,unconscious,0.51 $\pm$ 0.15,0.04801540075195641,"[0.501,0.514]",0.0108198918010819,1.0,9
sub-01,2304,Middle fontal gyrus,Working Memory,conscious,unconscious,0.53 $\pm$ 0.13,0.25842240036679653,"[0.529,0.539]",9.99990000099999e-06,0.001079989200107999,10
sub-01,2304,Inferior frontal gyrus,Working Memory,conscious,unconscious,0.54 $\pm$ 0.15,0.28050402829488197,"[0.536,0.549]",9.99990000099999e-06,0.001079989200107999,11
sub-01,2304,Superior parietal gyrus,Working Memory,unconscious,unconscious,0.45 $\pm$ 0.16,-0.3124759343299797,"[0.445,0.458]",1.0,1.0,7
sub-01,2304,Superior frontal gyrus,Working Memory,unconscious,unconscious,0.54 $\pm$ 0.14,0.3080925951855308,"[0.539,0.551]",9.99990000099999e-06,0.001079989200107999,9
sub-01,2304,Middle fontal gyrus,Working Memory,unconscious,unconscious,0.55 $\pm$ 0.14,0.34250028312548486,"[0.543,0.555]",9.99990000099999e-06,0.001079989200107999,10
sub-01,2304,Inferior frontal gyrus,Working Memory,unconscious,unconscious,0.51 $\pm$ 0.15,0.060870033667967276,"[0.503,0.515]",0.0020399796002039,0.22031779682202118,11
sub-02,2024,Pericalcarine cortex,Visual,conscious,conscious,0.54 $\pm$ 0.27,0.15098709649452138,"[0.529,0.553]",9.99990000099999e-06,0.001079989200107999,0
sub-02,2024,Lingual,Visual,conscious,conscious,0.60 $\pm$ 0.29,0.3520803528948458,"[0.589,0.615]",9.99990000099999e-06,0.001079989200107999,1
sub-02,2024,Lateral occipital cortex,Visual,conscious,conscious,0.79 $\pm$ 0.23,1.2683308846937427,"[0.777,0.796]",9.99990000099999e-06,0.001079989200107999,2
sub-02,2024,Fusiform gyrus,Visual,conscious,conscious,0.71 $\pm$ 0.28,0.7434964964960014,"[0.695,0.720]",9.99990000099999e-06,0.001079989200107999,3
sub-02,2024,Inferior temporal lobe,Visual,conscious,conscious,0.61 $\pm$ 0.33,0.34060620264105596,"[0.598,0.627]",9.99990000099999e-06,0.001079989200107999,4
sub-02,2024,Parahippocampal gyrus,Visual,conscious,conscious,0.60 $\pm$ 0.30,0.3205521694545762,"[0.582,0.608]",9.99990000099999e-06,0.001079989200107999,5
sub-02,2024,Precuneus,Visual,conscious,conscious,0.49 $\pm$ 0.30,-0.02992993919863179,"[0.478,0.504]",0.909860901390986,1.0,6
sub-02,2024,Inferior parietal lobe,Visual,conscious,conscious,0.56 $\pm$ 0.32,0.19736487625257615,"[0.549,0.576]",9.99990000099999e-06,0.001079989200107999,8
sub-02,2304,Pericalcarine cortex,Visual,conscious,unconscious,0.49 $\pm$ 0.20,-0.027556209656552085,"[0.487,0.503]",0.9085109148908512,1.0,0
sub-02,2304,Lingual,Visual,conscious,unconscious,0.54 $\pm$ 0.21,0.17562313627160875,"[0.528,0.545]",9.99990000099999e-06,0.001079989200107999,1
sub-02,2304,Lateral occipital cortex,Visual,conscious,unconscious,0.55 $\pm$ 0.20,0.25925293244004394,"[0.545,0.561]",9.99990000099999e-06,0.001079989200107999,2
sub-02,2304,Fusiform gyrus,Visual,conscious,unconscious,0.54 $\pm$ 0.20,0.22315797097557533,"[0.536,0.552]",9.99990000099999e-06,0.001079989200107999,3
sub-02,2304,Inferior temporal lobe,Visual,conscious,unconscious,0.52 $\pm$ 0.19,0.08073866670168929,"[0.508,0.523]",3.999960000399996e-05,0.004319956800431996,4
sub-02,2304,Parahippocampal gyrus,Visual,conscious,unconscious,0.49 $\pm$ 0.19,-0.03765378051459482,"[0.485,0.501]",0.9641903580964192,1.0,5
sub-02,2304,Precuneus,Visual,conscious,unconscious,0.53 $\pm$ 0.18,0.136502399058924,"[0.518,0.533]",9.99990000099999e-06,0.001079989200107999,6
sub-02,2304,Inferior parietal lobe,Visual,conscious,unconscious,0.53 $\pm$ 0.19,0.1341476983145338,"[0.517,0.533]",9.99990000099999e-06,0.001079989200107999,8
sub-02,2304,Pericalcarine cortex,Visual,unconscious,unconscious,0.51 $\pm$ 0.19,0.06603831366398548,"[0.505,0.520]",0.0007499925000749,0.0809991900080892,0
sub-02,2304,Lingual,Visual,unconscious,unconscious,0.55 $\pm$ 0.20,0.2450685362855087,"[0.540,0.556]",9.99990000099999e-06,0.001079989200107999,1
sub-02,2304,Lateral occipital cortex,Visual,unconscious,unconscious,0.49 $\pm$ 0.19,-0.03537528507701556,"[0.486,0.501]",0.953280467195328,1.0,2
sub-02,2304,Fusiform gyrus,Visual,unconscious,unconscious,0.53 $\pm$ 0.20,0.16860806553988586,"[0.526,0.543]",9.99990000099999e-06,0.001079989200107999,3
sub-02,2304,Inferior temporal lobe,Visual,unconscious,unconscious,0.51 $\pm$ 0.19,0.06549564660587696,"[0.505,0.520]",0.0010899891001089,0.11771882281176121,4
sub-02,2304,Parahippocampal gyrus,Visual,unconscious,unconscious,0.55 $\pm$ 0.19,0.2398793507046331,"[0.538,0.553]",9.99990000099999e-06,0.001079989200107999,5
sub-02,2304,Precuneus,Visual,unconscious,unconscious,0.52 $\pm$ 0.18,0.12992539787527144,"[0.516,0.531]",9.99990000099999e-06,0.001079989200107999,6
