Attributes,Feature Importance
Hidden Units,0.020132572837983708
Hidden Units,0.0185601973177123
Hidden Units,0.020410050870972717
Hidden Units,0.020687528903961815
Hidden Units,0.020348389085863984
Hidden Units,0.01997841837521195
Hidden Units,0.0219515954986897
Hidden Units,0.019577616772005556
Hidden Units,0.01782025589640821
Hidden Units,0.020995837829505138
Hidden Units,0.02056420533374439
Hidden Units,0.01859102821026668
Hidden Units,0.018621859102821013
Hidden Units,0.017296130722984415
Hidden Units,0.020255896408201045
Hidden Units,0.02108833050716814
Hidden Units,0.02118082318483123
Hidden Units,0.021334977647602903
Hidden Units,0.01843687374749503
Hidden Units,0.017604439648527804
Hidden Units,0.022660706027439505
Hidden Units,0.019978418375212015
Hidden Units,0.020533374441190123
Hidden Units,0.021304146755048502
Hidden Units,0.021612455680591936
Hidden Units,0.021458301217820264
Hidden Units,0.02127331586249428
Hidden Units,0.02037921997841845
Hidden Units,0.0192693078464621
Hidden Units,0.022876522275319933
Hidden Units,0.022136580854015663
Hidden Units,0.018930168028364357
Hidden Units,0.02071835979651615
Hidden Units,0.018190226607060312
Hidden Units,0.020934176044396423
Hidden Units,0.02078002158162484
Hidden Units,0.02078002158162471
Hidden Units,0.021057499614613874
Hidden Units,0.017511946970864844
Hidden Units,0.02155079389548329
Hidden Units,0.01911515338369043
Hidden Units,0.019515954986896823
Hidden Units,0.01837521196238636
Hidden Units,0.02225990442423307
Hidden Units,0.017111145367658454
Hidden Units,0.019330969631570837
Hidden Units,0.019454293201788198
Hidden Units,0.01923847695390777
Hidden Units,0.017234468937875703
Hidden Units,0.020687528903961815
Hidden Units,0.02182827192847232
Hidden Units,0.019115153383690454
Hidden Units,0.01874518267303844
Hidden Units,0.018745182673038374
Hidden Units,0.01711114536765841
Hidden Units,0.018899337135810067
Hidden Units,0.021273315862494237
Hidden Units,0.020965006936950848
Hidden Units,0.0191768151687991
Hidden Units,0.018776013565592685
Hidden Units,0.021242484969939836
Hidden Units,0.020625867118853104
Hidden Units,0.01809773392939722
Hidden Units,0.023523971018960976
Hidden Units,0.0161862185910282
Hidden Units,0.020903345151842157
Hidden Units,0.021273315862494237
Hidden Units,0.021828271928472386
Hidden Units,0.019978418375212015
Hidden Units,0.020101741945429286
Hidden Units,0.018652689995375372
Hidden Units,0.018097733929397286
Hidden Units,0.019855094804994654
Hidden Units,0.019022660706027473
Hidden Units,0.022969014952982824
Hidden Units,0.022136580854015753
Hidden Units,0.018159395714505866
Hidden Units,0.01806690303684295
Hidden Units,0.01754277786341918
Hidden Units,0.022167411746570064
Hidden Units,0.021026668722059473
Hidden Units,0.019423462309233818
Hidden Units,0.020163403730537953
Hidden Units,0.01837521196238636
Hidden Units,0.019392631416679573
Hidden Units,0.019207646061353455
Hidden Units,0.019392631416679528
Hidden Units,0.020903345151842133
Hidden Units,0.020070911052874996
Hidden Units,0.019361800524125172
Hidden Units,0.02081085247417913
Hidden Units,0.0191151533836905
Hidden Units,0.020595036226298723
Hidden Units,0.022136580854015753
Hidden Units,0.02062586711885308
Hidden Units,0.020687528903961815
Hidden Units,0.016710343764452018
Hidden Units,0.021242484969939922
Hidden Units,0.01902266070602745
Hidden Units,0.01803607214428855
Hidden Activation Function,0.017450285185756177
Hidden Activation Function,0.018128564821951555
Hidden Activation Function,0.01643286573146292
