groups,Decode Above Chance,x,proportion,Model name
high,False,2497,0.4360048891217042,VGG19
high,True,3230,0.5639951108782958,VGG19
low,False,32,0.014545454545454545,VGG19
low,True,2168,0.9854545454545455,VGG19
high,False,4771,0.7333230863818014,Resnet50
high,True,1735,0.26667691361819856,Resnet50
low,False,181,0.08242258652094718,Resnet50
low,True,2015,0.9175774134790529,Resnet50
