sub,roi_name,condition_source,condition_target,p
sub-01,Lateral occipital cortex,unconscious,unconscious,9.99990000099999e-06
sub-01,Lingual,conscious,conscious,9.99990000099999e-06
sub-01,Lingual,conscious,glimpse,9.99990000099999e-06
sub-01,Lingual,conscious,unconscious,9.99990000099999e-06
sub-01,Lingual,glimpse,conscious,9.99990000099999e-06
sub-01,Lingual,glimpse,glimpse,9.99990000099999e-06
sub-01,Lingual,glimpse,unconscious,0.4882251177488225
sub-01,Lingual,unconscious,conscious,9.99990000099999e-06
sub-01,Lingual,unconscious,glimpse,0.9326806731932681
sub-01,Lingual,unconscious,unconscious,0.0013499865001349986
sub-01,Middle fontal gyrus,conscious,conscious,0.00024999750002499977
sub-01,Middle fontal gyrus,conscious,glimpse,0.03689963100368996
sub-01,Middle fontal gyrus,conscious,unconscious,9.99990000099999e-06
sub-01,Middle fontal gyrus,glimpse,conscious,9.99990000099999e-06
sub-01,Middle fontal gyrus,glimpse,glimpse,9.99990000099999e-06
sub-01,Middle fontal gyrus,glimpse,unconscious,1.0
sub-01,Middle fontal gyrus,unconscious,conscious,9.99990000099999e-06
sub-01,Middle fontal gyrus,unconscious,glimpse,9.99990000099999e-06
sub-01,Middle fontal gyrus,unconscious,unconscious,9.99990000099999e-06
sub-01,Parahippocampal gyrus,conscious,conscious,9.99990000099999e-06
sub-01,Parahippocampal gyrus,conscious,glimpse,9.99990000099999e-06
sub-01,Parahippocampal gyrus,conscious,unconscious,9.99990000099999e-06
sub-01,Parahippocampal gyrus,glimpse,conscious,9.99990000099999e-06
sub-01,Parahippocampal gyrus,glimpse,glimpse,9.99990000099999e-06
sub-01,Parahippocampal gyrus,glimpse,unconscious,9.99990000099999e-06
sub-01,Parahippocampal gyrus,unconscious,conscious,9.99990000099999e-06
sub-01,Parahippocampal gyrus,unconscious,glimpse,9.99990000099999e-06
sub-01,Parahippocampal gyrus,unconscious,unconscious,0.964620353796462
sub-01,Pericalcarine cortex,conscious,conscious,9.99990000099999e-06
sub-01,Pericalcarine cortex,conscious,glimpse,9.99990000099999e-06
sub-01,Pericalcarine cortex,conscious,unconscious,9.99990000099999e-06
sub-01,Pericalcarine cortex,glimpse,conscious,9.99990000099999e-06
sub-01,Pericalcarine cortex,glimpse,glimpse,2.999970000299997e-05
sub-01,Pericalcarine cortex,glimpse,unconscious,0.999910000899991
sub-01,Pericalcarine cortex,unconscious,conscious,9.99990000099999e-06
sub-01,Pericalcarine cortex,unconscious,glimpse,0.8482615173848261
sub-01,Pericalcarine cortex,unconscious,unconscious,8.99991000089999e-05
sub-01,Precuneus,conscious,conscious,9.99990000099999e-06
sub-01,Precuneus,conscious,glimpse,9.99990000099999e-06
sub-01,Precuneus,conscious,unconscious,9.99990000099999e-06
sub-01,Precuneus,glimpse,conscious,9.99990000099999e-06
sub-01,Precuneus,glimpse,glimpse,0.999980000199998
sub-01,Precuneus,glimpse,unconscious,0.99920000799992
sub-01,Precuneus,unconscious,conscious,9.99990000099999e-06
sub-01,Precuneus,unconscious,glimpse,9.99990000099999e-06
sub-01,Precuneus,unconscious,unconscious,0.990360096399036
sub-01,Superior frontal gyrus,conscious,conscious,9.99990000099999e-06
sub-01,Superior frontal gyrus,conscious,glimpse,9.99990000099999e-06
sub-01,Superior frontal gyrus,conscious,unconscious,0.010759892401075988
sub-01,Superior frontal gyrus,glimpse,conscious,9.99990000099999e-06
sub-01,Superior frontal gyrus,glimpse,glimpse,9.99990000099999e-06
sub-01,Superior frontal gyrus,glimpse,unconscious,1.0
sub-01,Superior frontal gyrus,unconscious,conscious,0.7304426955730443
sub-01,Superior frontal gyrus,unconscious,glimpse,0.9613403865961341
sub-01,Superior frontal gyrus,unconscious,unconscious,9.99990000099999e-06
sub-01,Superior parietal gyrus,conscious,conscious,9.99990000099999e-06
sub-01,Superior parietal gyrus,conscious,glimpse,9.99990000099999e-06
sub-01,Superior parietal gyrus,conscious,unconscious,9.99990000099999e-06
sub-01,Superior parietal gyrus,glimpse,conscious,9.99990000099999e-06
sub-01,Superior parietal gyrus,glimpse,glimpse,9.99990000099999e-06
sub-01,Superior parietal gyrus,glimpse,unconscious,0.37307626923730763
sub-01,Superior parietal gyrus,unconscious,conscious,1.0
sub-01,Superior parietal gyrus,unconscious,glimpse,0.006499935000649993
sub-01,Superior parietal gyrus,unconscious,unconscious,1.0
sub-02,Fusiform gyrus,conscious,conscious,9.99990000099999e-06
sub-02,Fusiform gyrus,conscious,glimpse,9.99990000099999e-06
sub-02,Fusiform gyrus,conscious,unconscious,9.99990000099999e-06
sub-02,Fusiform gyrus,glimpse,conscious,9.99990000099999e-06
sub-02,Fusiform gyrus,glimpse,glimpse,9.99990000099999e-06
sub-02,Fusiform gyrus,glimpse,unconscious,9.99990000099999e-06
sub-02,Fusiform gyrus,unconscious,conscious,9.99990000099999e-06
sub-02,Fusiform gyrus,unconscious,glimpse,9.99990000099999e-06
sub-02,Fusiform gyrus,unconscious,unconscious,9.99990000099999e-06
sub-02,Inferior frontal gyrus,conscious,conscious,9.99990000099999e-06
sub-02,Inferior frontal gyrus,conscious,glimpse,9.99990000099999e-06
sub-02,Inferior frontal gyrus,conscious,unconscious,9.99990000099999e-06
sub-02,Inferior frontal gyrus,glimpse,conscious,9.99990000099999e-06
sub-02,Inferior frontal gyrus,glimpse,glimpse,9.99990000099999e-06
sub-02,Inferior frontal gyrus,glimpse,unconscious,9.99990000099999e-06
sub-02,Inferior frontal gyrus,unconscious,conscious,9.99990000099999e-06
sub-02,Inferior frontal gyrus,unconscious,glimpse,9.99990000099999e-06
sub-02,Inferior frontal gyrus,unconscious,unconscious,9.99990000099999e-06
sub-02,Inferior parietal lobe,conscious,conscious,9.99990000099999e-06
sub-02,Inferior parietal lobe,conscious,glimpse,9.99990000099999e-06
sub-02,Inferior parietal lobe,conscious,unconscious,9.99990000099999e-06
sub-02,Inferior parietal lobe,glimpse,conscious,9.99990000099999e-06
sub-02,Inferior parietal lobe,glimpse,glimpse,9.99990000099999e-06
sub-02,Inferior parietal lobe,glimpse,unconscious,9.99990000099999e-06
sub-02,Inferior parietal lobe,unconscious,conscious,9.99990000099999e-06
sub-02,Inferior parietal lobe,unconscious,glimpse,9.99990000099999e-06
