,sum_sq,df,F,PR(>F)
C(conscious_state),0.45612790528885483,2.0,127.48574678915905,2.7389620069458294e-37
C(roi),0.010047442747391298,11.0,0.5105847513065971,0.8950993368642832
C(conscious_state):C(roi),0.0035320754234353293,22.0,0.08974541567500392,0.9999999867577467
Residual,0.3864103636045483,216.0,,
