mean,std,2.5q,25q,50q,75q,97.5q,mc err,visibility,attribute,awareness,sub,subject,chance,Type,row,col
4.012428935359259,0.7837520160482816,2.5327757943228604,3.4635845239689,3.982233048668829,4.50398012348742,5.67829911882753,0.041715656887760535,1,a,Unconscious,sub-0a,,,a,0,1
1.9105618659352253,0.6202453926422948,0.922741090558293,1.472579774529196,1.8146718602400969,2.275368918507524,3.3811667491635444,0.03750364590869051,1,a_std,Unconscious,sub-0a_std,,,a,0,1
1.945211517506518,0.169098847861352,1.6702270620223951,1.8191594803587199,1.9268471127228817,2.049143987101247,2.321569509134453,0.015210635061661034,1,a_subj.1,Unconscious,sub-01,sub-01,True,a,0,1
7.431033501770717,1.2495557738244154,4.93070247074587,6.564797103990617,7.307523377145622,8.524582360895018,9.346083992767426,0.12367949730076791,1,a_subj.2,Unconscious,sub-02,sub-05,False,a,0,1
4.2179940401764675,0.7463207436890495,2.9985882223672604,3.5871306734705115,4.194703338874863,4.768665399512789,5.652093569117591,0.07261121700945883,1,a_subj.3,Unconscious,sub-03,sub-02,True,a,0,1
5.238765066197835,1.1210668668919692,3.7093193473736874,4.3579312513039445,5.049127807547642,5.89424690540562,8.025079678344598,0.11082166025593494,1,a_subj.4,Unconscious,sub-04,sub-03,True,a,0,1
4.514488170049376,0.6396130431786855,3.4143770552692634,3.991809715004451,4.453865294217221,5.10178326072152,5.547897532547277,0.0619991963298275,1,a_subj.5,Unconscious,sub-05,sub-04,True,a,0,1
6.26401032487229,1.026079451379757,4.46720129295668,5.519753868968911,6.1591364340594,7.199508904091471,8.127652997701933,0.10124156677649113,1,a_subj.6,Unconscious,sub-06,sub-06,False,a,0,1
4.596734526266197,0.9143553451071107,3.15565868222961,3.9229243052872085,4.430720051951153,5.350168169837508,6.613114267579854,0.09015372412566991,1,a_subj.7,Unconscious,sub-07,sub-07,False,a,0,1
3.4416708162604457,0.37616250499394915,2.6803058243383755,3.2125526842322785,3.442713855726377,3.671747858854774,4.166535119458097,0.008643453587590192,1,v,Unconscious,sub-0v,,,v,0,0
0.9676895182977355,0.35022559374952345,0.502198548462538,0.7309484849673136,0.8859418247234676,1.1257435670132052,1.859790103197398,0.013193436586788143,1,v_std,Unconscious,sub-0v_std,,,v,0,0
2.7526563247467846,0.17872620306966888,2.4403406717967093,2.6371692928171995,2.733787644517041,2.8565041637807727,3.157510246526473,0.015123361785015069,1,v_subj.1,Unconscious,sub-01,sub-01,True,v,0,0
3.9018765238629682,0.13674677863696288,3.637312538653149,3.816676487563713,3.912458966207756,3.9916459188219036,4.151626646620623,0.010837689150457635,1,v_subj.2,Unconscious,sub-02,sub-05,False,v,0,0
3.283772509306882,0.15925086089873622,2.9722789492741546,3.1729111529398777,3.2780839269125406,3.3962550101152713,3.6023036951700718,0.012401349916193304,1,v_subj.3,Unconscious,sub-03,sub-02,True,v,0,0
3.9226602166839863,0.2271104218103031,3.4596351501272116,3.783634676064435,3.9206056181631688,4.049270707024682,4.428488059308545,0.020566507623388377,1,v_subj.4,Unconscious,sub-04,sub-03,True,v,0,0
2.1463575904131433,0.07711985238869362,1.9976786509548576,2.0927269404322173,2.1457758872038033,2.1997413509795365,2.3000678916318367,0.003894085059441104,1,v_subj.5,Unconscious,sub-05,sub-04,True,v,0,0
3.7090734844843722,0.1344165018807414,3.4425498037693836,3.6191040070567935,3.7093123124240694,3.806024003793263,3.957694120463519,0.010438994457631436,1,v_subj.6,Unconscious,sub-06,sub-06,False,v,0,0
4.399786150188457,0.1953901659627148,4.03386705418855,4.264743348350942,4.402652317436349,4.5379211762605225,4.7824622115761635,0.016257463149919854,1,v_subj.7,Unconscious,sub-07,sub-07,False,v,0,0
