response,rt_response,visibility,rt_visibility,correct_answer,category,subcategory,label,response_previous,rt_response_previous,visibility_previous,rt_visibility_previous,correct_answer_previous,category_previous,subcategory_previous,label_previous,sub,session,block
2,0.8303101062774658,3,0.5303189754486084,1.0,Living_Things,Animals,hippopotamus,1,0.3803430199623108,1,0.3003198504447937,1.0,Living_Things,Animals,horse,sub-01,1,1
2,0.290308803319931,1,0.8003050088882446,0.0,Nonliving_Things,Musical_Inst,saxophone,2,0.8303101062774658,3,0.5303189754486084,1.0,Living_Things,Animals,hippopotamus,sub-01,1,1
1,0.6603136658668518,3,0.480328768491745,1.0,Living_Things,Birds,goose,2,0.290308803319931,1,0.8003050088882446,0.0,Nonliving_Things,Musical_Inst,saxophone,sub-01,1,1
2,0.6103114485740662,2,0.5503175258636475,1.0,Nonliving_Things,Kitchen_Uten,pot,1,0.6603136658668518,3,0.480328768491745,1.0,Living_Things,Birds,goose,sub-01,1,1
1,0.3403134644031524,1,0.5003151893615723,1.0,Living_Things,Marine_creatures,narwhal,2,0.5103144645690918,2,0.2902049422264099,1.0,Nonliving_Things,Buildings,castle,sub-01,1,2
1,0.4803130030632019,2,1.2102986574172974,1.0,Nonliving_Things,Vehicles,boat,1,0.3403134644031524,1,0.5003151893615723,1.0,Living_Things,Marine_creatures,narwhal,sub-01,1,2
1,0.6702449917793274,2,0.3303076922893524,1.0,Nonliving_Things,Furniture,bedside-table,1,0.4803130030632019,2,1.2102986574172974,1.0,Nonliving_Things,Vehicles,boat,sub-01,1,2
1,0.3903053998947143,1,0.3104426264762878,0.0,Nonliving_Things,Tools,axe,1,0.6702449917793274,2,0.3303076922893524,1.0,Nonliving_Things,Furniture,bedside-table,sub-01,1,2
1,0.6704309582710266,3,0.3503147065639496,1.0,Living_Things,Birds,owl,1,0.3903053998947143,1,0.3104426264762878,0.0,Nonliving_Things,Tools,axe,sub-01,1,2
1,0.5003913640975952,1,0.3304300606250763,1.0,Living_Things,Birds,ostrich,1,0.6704309582710266,3,0.3503147065639496,1.0,Living_Things,Birds,owl,sub-01,1,2
1,0.6402919292449951,3,0.4203206300735473,1.0,Nonliving_Things,Vehicles,bus,1,0.5003913640975952,1,0.3304300606250763,1.0,Living_Things,Birds,ostrich,sub-01,1,2
2,0.3703524172306061,1,0.3503081202507019,0.0,Nonliving_Things,Furniture,armchair,1,0.6402919292449951,3,0.4203206300735473,1.0,Nonliving_Things,Vehicles,bus,sub-01,1,2
2,0.7503151297569275,3,0.3102646470069885,1.0,Nonliving_Things,Musical_Inst,piano,2,0.3703524172306061,1,0.3503081202507019,0.0,Nonliving_Things,Furniture,armchair,sub-01,1,2
2,0.3703401386737823,1,0.2803110182285309,1.0,Nonliving_Things,Buildings,church,2,0.7503151297569275,3,0.3102646470069885,1.0,Nonliving_Things,Musical_Inst,piano,sub-01,1,2
1,0.4803155064582824,2,0.2703031301498413,1.0,Living_Things,Birds,pelican,2,0.3703401386737823,1,0.2803110182285309,1.0,Nonliving_Things,Buildings,church,sub-01,1,2
1,0.8503062725067139,3,0.380323052406311,1.0,Nonliving_Things,Buildings,cathedral,1,0.4803155064582824,2,0.2703031301498413,1.0,Living_Things,Birds,pelican,sub-01,1,2
1,1.360321044921875,1,1.3303245306015017,0.0,Nonliving_Things,Kitchen_Uten,coking-pot,1,0.8503062725067139,3,0.380323052406311,1.0,Nonliving_Things,Buildings,cathedral,sub-01,1,2
2,0.4202494323253631,2,0.5503066182136536,1.0,Living_Things,Birds,penguin,1,1.360321044921875,1,1.3303245306015017,0.0,Nonliving_Things,Kitchen_Uten,coking-pot,sub-01,1,2
2,0.3500943183898926,1,0.3803161978721618,0.0,Living_Things,Birds,partridge,2,0.4202494323253631,2,0.5503066182136536,1.0,Living_Things,Birds,penguin,sub-01,1,2
2,0.5302416682243347,3,0.2902678847312927,1.0,Nonliving_Things,Vehicles,car,2,0.3500943183898926,1,0.3803161978721618,0.0,Living_Things,Birds,partridge,sub-01,1,2
1,0.8000829815864563,1,0.3502133786678314,1.0,Living_Things,Animals,turtle,2,0.5302416682243347,3,0.2902678847312927,1.0,Nonliving_Things,Vehicles,car,sub-01,1,2
2,0.6203051805496216,3,0.2703152298927307,1.0,Living_Things,Birds,raven,1,0.8000829815864563,1,0.3502133786678314,1.0,Living_Things,Animals,turtle,sub-01,1,2
1,0.670307457447052,3,0.8800939917564392,1.0,Living_Things,Birds,seagull,2,0.6203051805496216,3,0.2703152298927307,1.0,Living_Things,Birds,raven,sub-01,1,2
2,0.4300920367240906,1,0.4502703845500946,1.0,Living_Things,Birds,pigeon,1,0.670307457447052,3,0.8800939917564392,1.0,Living_Things,Birds,seagull,sub-01,1,2
2,0.7200884819030762,3,0.2503186464309692,1.0,Living_Things,Marine_creatures,shark,2,0.4300920367240906,1,0.4502703845500946,1.0,Living_Things,Birds,pigeon,sub-01,1,2
2,0.7303835153579712,2,0.2701001763343811,1.0,Nonliving_Things,Furniture,chair,2,0.7200884819030762,3,0.2503186464309692,1.0,Living_Things,Marine_creatures,shark,sub-01,1,2
1,0.7100929617881775,1,0.53032386302948,0.0,Nonliving_Things,Furniture,bookcase,2,0.7303835153579712,2,0.2701001763343811,1.0,Nonliving_Things,Furniture,chair,sub-01,1,2
2,0.4303077161312103,3,0.2503460645675659,1.0,Nonliving_Things,Furniture,bed,1,0.7100929617881775,1,0.53032386302948,0.0,Nonliving_Things,Furniture,bookcase,sub-01,1,2
2,0.3203790187835693,1,0.3203748762607574,0.0,Nonliving_Things,Vehicles,plane,2,0.4303077161312103,3,0.2503460645675659,1.0,Nonliving_Things,Furniture,bed,sub-01,1,2
2,0.5503497123718262,1,0.6503744125366211,0.0,Living_Things,Marine_creatures,manatee,2,0.3203790187835693,1,0.3203748762607574,0.0,Nonliving_Things,Vehicles,plane,sub-01,1,2
1,0.5703062415122986,2,0.3701153695583343,0.0,Living_Things,Birds,magpie,2,0.5503497123718262,1,0.6503744125366211,0.0,Living_Things,Marine_creatures,manatee,sub-01,1,2
1,0.8703107237815857,3,0.4103117883205414,1.0,Living_Things,Animals,rhino,1,0.5703062415122986,2,0.3701153695583343,0.0,Living_Things,Birds,magpie,sub-01,1,2
2,0.4203124642372131,1,0.6303304433822632,1.0,Living_Things,Animals,lioness,1,0.8703107237815857,3,0.4103117883205414,1.0,Living_Things,Animals,rhino,sub-01,1,2
1,0.9703869223594666,2,0.4704051911830902,1.0,Living_Things,Animals,lynx,2,0.4203124642372131,1,0.6303304433822632,1.0,Living_Things,Animals,lioness,sub-01,1,2
1,0.6903079748153687,3,0.6103115677833557,1.0,Nonliving_Things,Furniture,Chest-of-drawers,1,0.9703869223594666,2,0.4704051911830902,1.0,Living_Things,Animals,lynx,sub-01,1,2
1,0.6903463006019592,3,0.2703114151954651,1.0,Nonliving_Things,Musical_Inst,drum,1,0.7203160524368286,1,0.3503069281578064,0.0,Nonliving_Things,Furniture,couch,sub-01,1,3
2,0.3303489089012146,1,0.5603256225585938,0.0,Living_Things,Birds,sparrow,1,0.6903463006019592,3,0.2703114151954651,1.0,Nonliving_Things,Musical_Inst,drum,sub-01,1,3
2,0.4903098046779632,2,0.2903195917606354,1.0,Living_Things,Birds,duck,2,0.3303489089012146,1,0.5603256225585938,0.0,Living_Things,Birds,sparrow,sub-01,1,3
1,0.3603155612945556,1,0.5902684926986694,1.0,Nonliving_Things,Buildings,factory,2,0.4903098046779632,2,0.2903195917606354,1.0,Living_Things,Birds,duck,sub-01,1,3
2,0.3400866389274597,1,0.6302658319473267,0.0,Living_Things,Animals,cheetah,1,0.3603155612945556,1,0.5902684926986694,1.0,Nonliving_Things,Buildings,factory,sub-01,1,3
1,0.7203115820884705,3,0.3203291594982147,1.0,Nonliving_Things,Furniture,lamp,2,0.3400866389274597,1,0.6302658319473267,0.0,Living_Things,Animals,cheetah,sub-01,1,3
