groups,Decode Above Chance,x,proportion,model_name
high,False,3505,0.7364992645513764,alexnet
high,True,1254,0.2635007354486237,alexnet
low,False,601,0.3737562189054726,alexnet
low,True,1007,0.6262437810945274,alexnet
high,False,3744,0.7837554950805945,vgg19
high,True,1033,0.21624450491940547,vgg19
low,False,434,0.3583815028901734,vgg19
low,True,777,0.6416184971098265,vgg19
high,False,2758,0.652317880794702,mobilenet
high,True,1470,0.347682119205298,mobilenet
low,False,149,0.11929543634907927,mobilenet
low,True,1100,0.8807045636509208,mobilenet
high,False,3815,0.7215812369964063,densenet
high,True,1472,0.2784187630035937,densenet
low,False,668,0.5352564102564102,densenet
low,True,580,0.46474358974358976,densenet
high,False,3906,0.7046725599855674,resnet
high,True,1637,0.2953274400144326,resnet
low,False,78,0.03089108910891089,resnet
low,True,2447,0.9691089108910891,resnet
