category,index,probe_path,subcategory,label,n,correctAns_mean,correctAns_raw,discrim_resptime_mean,discrim_resptime_raw,discrim_resptime_std,image_onset_time_mean,image_onset_time_raw,image_onset_time_std,jitter1_mean,jitter1_raw,jitter2_mean,jitter2_raw,probeFrames_mean,probeFrames_raw,probeFrames_std,response.corr_mean,response.corr_raw,response.corr_std,response.keys_raw,response.rt_mean,response.rt_raw,response.rt_std,response_window_raw,visibil_resptime_mean,visibil_resptime_raw,visibil_resptime_std,visible.corr_mean,visible.corr_raw,visible.corr_std,visible.keys_raw,visible.rt_mean,visible.rt_raw,visible.rt_std,order
Nonliving_Things,91,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Vehicles/van_4.jpg,Vehicles,van,1.0,2.0,2,292.391937256,292.3919372558594,0.0,289.452056885,289.4520568847656,0.0,2.5,2.5,8.0,8.0,1.0,1.0,0.0,1.0,1.0,0.0,'2',0.460273295641,0.46027329564094543,0.0,'V_nV',293.902496338,293.9024963378906,0.0,0.0,0.0,0.0,'2',0.320263206959,0.32026320695877075,0.0,21.0
Living_Things,43,../experiment_stimuli/bw_bc_bl/Living_Things/Marine_creatures/killer-whale_11.jpg,Marine_creatures,killer-whale,1.0,2.0,2,319.611877441,319.61187744140625,0.0,317.671936035,317.67193603515625,0.0,1.5,1.5,6.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,'nV_V',321.122253418,321.12225341796875,0.0,0.0,0.0,0.0,'2',0.290301263332,0.29030126333236694,0.0,23.0
Nonliving_Things,81,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Furniture/table_5.jpg,Furniture,table,1.0,1.0,1,213.732330322,213.73233032226562,0.0,211.792495728,211.79249572753906,0.0,1.5,1.5,6.5,6.5,1.0,1.0,0.0,0.0,0.0,0.0,,,,,'nV_V',215.242874146,215.2428741455078,0.0,0.0,0.0,0.0,'2',0.280417650938,0.28041765093803406,0.0,15.0
Living_Things,42,../experiment_stimuli/bw_bc_bl/Living_Things/Birds/hummingbird_8.jpg,Birds,hummingbird,1.0,2.0,2,108.372825623,108.3728256225586,0.0,105.932891846,105.93289184570312,0.0,2.0,2.0,6.5,6.5,1.0,1.0,0.0,0.0,0.0,0.0,,,,,'nV_V',109.883270264,109.88327026367188,0.0,0.0,0.0,0.0,'2',0.320373296738,0.3203732967376709,0.0,7.0
Nonliving_Things,76,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Vehicles/ship_1.jpg,Vehicles,ship,1.0,1.0,1,27.2132110596,27.213211059570312,0.0,25.2732810974,25.27328109741211,0.0,1.5,1.5,6.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,'2',0.400257110596,0.4002571105957031,0.0,'nV_V',28.7237472534,28.72374725341797,0.0,0.0,0.0,0.0,'2',0.00031716551166,0.00031716551166027784,0.0,1.0
Living_Things,70,../experiment_stimuli/bw_bc_bl/Living_Things/Birds/rooster_6.jpg,Birds,rooster,1.0,1.0,1,40.0731925964,40.07319259643555,0.0,37.6332092285,37.633209228515625,0.0,2.0,2.0,8.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,'2',0.620098173618,0.6200981736183167,0.0,'V_nV',41.5837593079,41.58375930786133,0.0,0.0,0.0,0.0,'3',0.320245057344,0.32024505734443665,0.0,2.0
Living_Things,45,../experiment_stimuli/bw_bc_bl/Living_Things/Insects/ladybird_19.jpg,Insects,ladybird,1.0,1.0,1,175.67250061,175.67250061035156,0.0,173.732589722,173.7325897216797,0.0,1.5,1.5,6.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,'2',0.640297472477,0.6402974724769592,0.0,'V_nV',177.183044434,177.18304443359375,0.0,0.0,0.0,0.0,'2',0.340253174305,0.34025317430496216,0.0,12.0

extraInfo
n_square,32
expName,Expt_DEF
probeFrames,3
participant,
frameRate,100.0045856
date,2019_Mar_22_2038
session,003
premask_dur,20
postmask_dur,20
block,1
