category,index,probe_path,subcategory,label,n,correctAns_mean,correctAns_raw,discrim_resptime_mean,discrim_resptime_raw,discrim_resptime_std,image_onset_time_mean,image_onset_time_raw,image_onset_time_std,jitter1_mean,jitter1_raw,jitter2_mean,jitter2_raw,probeFrames_raw,response.corr_mean,response.corr_raw,response.corr_std,response.keys_raw,response.rt_mean,response.rt_raw,response.rt_std,response_window_raw,visibil_resptime_mean,visibil_resptime_raw,visibil_resptime_std,visible.corr_mean,visible.corr_raw,visible.corr_std,visible.keys_raw,visible.rt_mean,visible.rt_raw,visible.rt_std,order
Living_Things,40,../experiment_stimuli/bw_bc_bl/Living_Things/Animals/horse_0.jpg,Animals,horse,1.0,1.0,1,196.247497559,196.24749755859375,0.0,194.307556152,194.30755615234375,0.0,1.5,1.5,6.0,6.0,'1.0',1.0,1.0,0.0,'1',0.800295233727,0.8002952337265015,0.0,'V_nV',197.758041382,197.75804138183594,0.0,1.0,1.0,0.0,'1',0.280295461416,0.2802954614162445,0.0,14.0
Nonliving_Things,71,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Kitchen_Uten/saucepan_4.jpg,Kitchen_Uten,saucepan,1.0,2.0,2,209.637420654,209.63742065429688,0.0,206.667480469,206.66748046875,0.0,2.5,2.5,6.0,6.0,'4.0',1.0,1.0,0.0,'2',0.660160660744,0.6601606607437134,0.0,'V_nV',211.147979736,211.14797973632812,0.0,0.0,0.0,0.0,'3',0.280298352242,0.2802983522415161,0.0,15.0
Living_Things,32,../experiment_stimuli/bw_bc_bl/Living_Things/Animals/giraffe_8.jpg,Animals,giraffe,1.0,2.0,2,427.156433105,427.15643310546875,0.0,424.196502686,424.1965026855469,0.0,2.5,2.5,6.0,6.0,3,1.0,1.0,0.0,'2',1.02030611038,1.02030611038208,0.0,'nV_V',428.666931152,428.66693115234375,0.0,1.0,1.0,0.0,'1',0.490327477455,0.49032747745513916,0.0,31.0
Living_Things,73,../experiment_stimuli/bw_bc_bl/Living_Things/Insects/scorpion_23.jpg,Insects,scorpion,1.0,1.0,1,53.558177948,53.55817794799805,0.0,50.0882415771,50.08824157714844,0.0,3.0,3.0,6.0,6.0,'4.0',1.0,1.0,0.0,'1',0.570287406445,0.5702874064445496,0.0,'V_nV',55.0687789917,55.06877899169922,0.0,0.0,0.0,0.0,'2',0.420293480158,0.4202934801578522,0.0,3.0
Nonliving_Things,69,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Furniture/rocking-chair_20.jpg,Furniture,rocking-chair,1.0,1.0,1,39.6782569885,39.67825698852539,0.0,36.7282981873,36.72829818725586,0.0,2.5,2.5,6.0,6.0,'2.0',0.0,0.0,0.0,'2',0.750284552574,0.7502845525741577,0.0,'nV_V',41.1887931824,41.18879318237305,0.0,1.0,1.0,0.0,'1',0.630248069763,0.6302480697631836,0.0,2.0
Living_Things,49,../experiment_stimuli/bw_bc_bl/Living_Things/Marine_creatures/lobster_9.jpg,Marine_creatures,lobster,1.0,1.0,1,318.616912842,318.6169128417969,0.0,316.147003174,316.1470031738281,0.0,2.0,2.0,6.0,6.0,'4.0',1.0,1.0,0.0,'1',0.5003028512,0.5003028512001038,0.0,'V_nV',320.127563477,320.1275634765625,0.0,0.0,0.0,0.0,'3',0.260323762894,0.26032376289367676,0.0,23.0
Nonliving_Things,88,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Musical_Inst/trumpet_4.jpg,Musical_Inst,trumpet,1.0,1.0,1,78.7881317139,78.78813171386719,0.0,76.3481140137,76.34811401367188,0.0,2.0,2.0,6.5,6.5,'1.0',1.0,1.0,0.0,'1',0.550316691399,0.5503166913986206,0.0,'nV_V',80.298614502,80.29861450195312,0.0,1.0,1.0,0.0,'1',0.340376526117,0.34037652611732483,0.0,5.0
Nonliving_Things,93,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Furniture/wardrobe_0.jpg,Furniture,wardrobe,1.0,1.0,1,13.4183740616,13.418374061584473,0.0,11.4284200668,11.428420066833496,0.0,1.5,1.5,6.0,6.0,'6.0',1.0,1.0,0.0,'1',0.770296156406,0.7702961564064026,0.0,'nV_V',14.9293079376,14.92930793762207,0.0,0.0,0.0,0.0,'3',0.750300347805,0.7503003478050232,0.0,0.0
Living_Things,42,../experiment_stimuli/bw_bc_bl/Living_Things/Birds/hummingbird_5.jpg,Birds,hummingbird,1.0,2.0,2,157.107681274,157.10768127441406,0.0,154.617736816,154.61773681640625,0.0,2.0,2.0,6.5,6.5,'6.0',1.0,1.0,0.0,'2',0.530301392078,0.5303013920783997,0.0,'nV_V',158.618225098,158.61822509765625,0.0,0.0,0.0,0.0,'2',0.330108940601,0.3301089406013489,0.0,11.0
Living_Things,34,../experiment_stimuli/bw_bc_bl/Living_Things/Birds/goose_5.jpg,Birds,goose,1.0,2.0,2,263.607177734,263.607177734375,0.0,261.647247314,261.6472473144531,0.0,1.5,1.5,6.5,6.5,'3.0',0.0,0.0,0.0,'1',1.28031098843,1.2803109884262085,0.0,'nV_V',265.117767334,265.1177673339844,0.0,0.0,0.0,0.0,'2',0.550287127495,0.550287127494812,0.0,19.0
